name,f1,f2,seq,disc_freq,cal_freq,disc_win,cal_win,disc_mean,cal_mean,disc_pf,cal_pf
TSI<=-0.211069|BB>=0.0942267|MACD_STOCH_TURN,-0.211069,0.0942267,MACD_STOCH_TURN,0.5268199233716475,0.4219409282700422,76.36363636363637,68.18181818181817,2.6107138240099514,2.4308323894646837,5.149047911335578,4.95466441497935
TSI<=-0.211069|BB>=0.0942267|PULLBACK_REBOUND,-0.211069,0.0942267,PULLBACK_REBOUND,1.0344827586206895,1.9562715765247412,74.07407407407408,59.80392156862745,2.579617323048483,1.0589422770481804,3.546827245656562,1.7280605135082512
TSI<=-0.211069|BB>=0.085|MACD_STOCH_TURN,-0.211069,0.085,MACD_STOCH_TURN,0.603448275862069,0.46029919447640966,74.60317460317461,66.66666666666666,2.3965089966367414,2.2122398994721237,4.398698347284014,4.237144725732997
TSI<=-0.211069|BB>=0.085|PULLBACK_REBOUND,-0.211069,0.085,PULLBACK_REBOUND,1.139846743295019,2.128883774453395,71.42857142857143,55.85585585585585,2.352714566661704,0.7943912024500157,3.20686800969844,1.5166101260651572
TSI<=-0.211069|BB>=0.075|HL_RECLAIM,-0.211069,0.075,HL_RECLAIM,0.4022988505747126,0.2685078634445723,64.28571428571429,28.57142857142857,0.31958300800684475,-0.1774448460361248,1.3325073889800019,0.8866813911563082
TSI<=-0.211069|BB>=0.075|MACD_STOCH_TURN,-0.211069,0.075,MACD_STOCH_TURN,0.6992337164750958,0.6712696586114307,75.34246575342466,45.714285714285715,2.035202857208122,0.39009732704694805,3.969237456373736,1.2445016897560488
TSI<=-0.211069|BB>=0.075|MOTION_HL,-0.211069,0.075,MOTION_HL,0.4693486590038314,0.28768699654775604,61.224489795918366,26.666666666666668,-0.16092563573602872,-1.407620604991208,0.8786562397885532,0.4793350883256286
TSI<=-0.211069|BB>=0.075|PULLBACK_REBOUND,-0.211069,0.075,PULLBACK_REBOUND,1.2739463601532566,2.780974299961642,69.92481203007519,44.13793103448276,2.1575680947069436,-0.4014442174893205,2.8734668960504672,0.8190565169947752
TSI<=-0.211069|BB>=0.065|SEQ_B,-0.211069,0.065,SEQ_B,0.22988505747126436,0.4986574606827771,54.166666666666664,38.46153846153847,1.0450245651161383,-2.601681816320995,1.6610070060790256,0.4161185567852897
TSI<=-0.211069|BB>=0.065|HL_RECLAIM,-0.211069,0.065,HL_RECLAIM,0.603448275862069,0.3835826620636747,61.904761904761905,25.0,1.145438881538673,-0.47163850391481443,2.0211072164112007,0.7069405371607425
TSI<=-0.211069|BB>=0.065|MACD_STOCH_TURN,-0.211069,0.065,MACD_STOCH_TURN,0.9578544061302682,0.9973149213655542,70.0,44.230769230769226,2.2202946892471007,0.22103125063587148,3.2128382750413214,1.1570037782121974
TSI<=-0.211069|BB>=0.065|MOTION_HL,-0.211069,0.065,MOTION_HL,0.6992337164750958,0.4219409282700422,60.273972602739725,22.727272727272727,0.8369739588408227,-1.415896640857123,1.6037766074424753,0.4221278003331319
TSI<=-0.211069|BB>=0.065|PULLBACK_REBOUND,-0.211069,0.065,PULLBACK_REBOUND,1.6762452107279693,3.049482163406214,63.42857142857142,44.65408805031446,1.904135712320252,-0.3193013337981103,2.3264277926650028,0.851731287919617
TSI<=-0.211069|BB>=0.055|SEQ_B,-0.211069,0.055,SEQ_B,0.32567049808429116,0.5178365937859609,52.94117647058824,40.74074074074074,0.49985847520911547,-2.444304805320763,1.2831346434449806,0.4303392871646896
TSI<=-0.211069|BB>=0.055|HL_RECLAIM,-0.211069,0.055,HL_RECLAIM,0.9195402298850575,0.5370157268891446,58.333333333333336,39.285714285714285,1.4298997088693124,-0.24147119065233688,2.2943561582831147,0.8364717995847296
TSI<=-0.211069|BB>=0.055|MACD_STOCH_TURN,-0.211069,0.055,MACD_STOCH_TURN,1.350574712643678,1.304181051016494,64.53900709219859,48.529411764705884,1.9387920221693449,0.1597270158728295,2.7900136138590748,1.1037257024560314
TSI<=-0.211069|BB>=0.055|MOTION_HL,-0.211069,0.055,MOTION_HL,1.1302681992337165,0.5753739930955121,57.6271186440678,36.666666666666664,1.1420033823067024,-0.9492716452941949,1.9040307914197299,0.5484152399852718
TSI<=-0.211069|BB>=0.055|PULLBACK_REBOUND,-0.211069,0.055,PULLBACK_REBOUND,2.318007662835249,3.8166474875335634,61.15702479338842,48.24120603015075,1.7842225841064463,0.32048082343266576,2.299285900304303,1.1611275608351848
TSI<=-0.211069|BB>=0.045|SEQ_B,-0.211069,0.045,SEQ_B,0.39272030651340994,0.5753739930955121,48.78048780487805,40.0,0.05687847798412208,-2.1848765191634407,1.0281679128197871,0.4644190185371353
TSI<=-0.211069|BB>=0.045|HL_RECLAIM,-0.211069,0.045,HL_RECLAIM,1.168582375478927,0.728807057920982,50.0,34.21052631578947,0.6833060044719544,-0.8776262730698874,1.4896944913862038,0.5316153253187159
TSI<=-0.211069|BB>=0.045|MACD_STOCH_TURN,-0.211069,0.045,MACD_STOCH_TURN,1.6954022988505746,1.6877637130801688,57.06214689265536,44.31818181818182,1.2452319870442001,-0.2748052734694419,1.9527249282834025,0.8425903092554036
TSI<=-0.211069|BB>=0.045|MOTION_HL,-0.211069,0.045,MOTION_HL,1.3984674329501916,0.8247027234369007,50.68493150684932,30.23255813953488,0.5320281824935988,-1.5157418107116214,1.354654074654747,0.36739163958455706
TSI<=-0.211069|BB>=0.045|PULLBACK_REBOUND,-0.211069,0.045,PULLBACK_REBOUND,2.701149425287356,4.41120061373226,58.86524822695035,46.95652173913044,1.4248961684289567,0.35748409462859776,1.931409208895923,1.1787156325682062
TSI<=-0.15|BB>=0.0942267|SEQ_B,-0.15,0.0942267,SEQ_B,0.19157088122605362,0.3068661296509398,80.0,56.25,3.3769179959927014,1.1570697480145669,8.90491776704277,1.652792743480522
TSI<=-0.15|BB>=0.0942267|MACD_STOCH_TURN,-0.15,0.0942267,MACD_STOCH_TURN,0.9099616858237547,0.4411200613732259,53.68421052631579,69.56521739130434,1.0254565898420203,2.6762778269485126,1.7638430655188375,5.5518817649039
TSI<=-0.15|BB>=0.0942267|PULLBACK_REBOUND,-0.15,0.0942267,PULLBACK_REBOUND,1.3409961685823755,2.1480629075565782,66.42857142857143,62.5,1.9722724788546355,1.1834002619654391,2.553677698976364,1.887510124852663
TSI<=-0.15|BB>=0.085|SEQ_B,-0.15,0.085,SEQ_B,0.210727969348659,0.3260452627541235,72.72727272727273,52.94117647058824,2.6119281772797445,0.8175018560381562,4.086095377466358,1.42145082413281
TSI<=-0.15|BB>=0.085|MACD_STOCH_TURN,-0.15,0.085,MACD_STOCH_TURN,0.9865900383141762,0.4794783275795934,54.36893203883495,68.0,1.0175648786656244,2.446793401556949,1.7630682274648442,4.729545955463871
TSI<=-0.15|BB>=0.085|PULLBACK_REBOUND,-0.15,0.085,PULLBACK_REBOUND,1.446360153256705,2.320675105485232,64.90066225165563,58.67768595041323,1.8376987389612958,0.9314557070509627,2.421631462695071,1.6565325381708056
TSI<=-0.15|BB>=0.075|SEQ_B,-0.15,0.075,SEQ_B,0.22030651340996169,0.4411200613732259,73.91304347826086,39.130434782608695,3.0295570088914,-2.684125102945256,4.742246561049634,0.4315800286668013
TSI<=-0.15|BB>=0.075|HL_RECLAIM,-0.15,0.075,HL_RECLAIM,0.6800766283524904,0.28768699654775604,46.478873239436616,33.33333333333333,-0.3144547878406767,0.008771461389618505,0.8029397648684337,1.0060016826016749
TSI<=-0.15|BB>=0.075|MACD_STOCH_TURN,-0.15,0.075,MACD_STOCH_TURN,1.082375478927203,0.6904487917146145,56.63716814159292,47.22222222222222,0.9061851707136063,0.6035967749509985,1.7162479379740458,1.3891260068619553
TSI<=-0.15|BB>=0.075|MOTION_HL,-0.15,0.075,MOTION_HL,0.7567049808429118,0.3068661296509398,45.56962025316456,31.25,-0.5599721790988806,-1.1561568318448812,0.680631719627691,0.5438389822941466
TSI<=-0.15|BB>=0.075|PULLBACK_REBOUND,-0.15,0.075,PULLBACK_REBOUND,1.5804597701149425,2.972765630993479,64.24242424242425,47.096774193548384,1.7240971681602202,-0.21729480293378528,2.2843317480193037,0.8956231376177793
TSI<=-0.15|BB>=0.065|SEQ_B,-0.15,0.065,SEQ_B,0.2777777777777778,0.5178365937859609,62.06896551724138,40.74074074074074,2.285352558004968,-2.4084417577405866,2.7467048533362575,0.43869739749712394
TSI<=-0.15|BB>=0.065|HL_RECLAIM,-0.15,0.065,HL_RECLAIM,0.8812260536398467,0.4219409282700422,48.91304347826087,31.818181818181817,0.39580297026044453,-0.08001120893476592,1.2535780135803165,0.9453122552789817
TSI<=-0.15|BB>=0.065|MACD_STOCH_TURN,-0.15,0.065,MACD_STOCH_TURN,1.3409961685823755,1.0548523206751055,56.42857142857143,47.27272727272727,1.2561327474225337,0.45485576034437175,1.909928575342058,1.3417350051929708
TSI<=-0.15|BB>=0.065|MOTION_HL,-0.15,0.065,MOTION_HL,0.9865900383141762,0.4794783275795934,48.54368932038835,32.0,0.2402587669673194,-0.9234624799689728,1.1416297065268075,0.5717110859049594
TSI<=-0.15|BB>=0.065|PULLBACK_REBOUND,-0.15,0.065,PULLBACK_REBOUND,1.982758620689655,3.260452627541235,59.90338164251207,47.647058823529406,1.5977933613838495,-0.15205620220461072,2.035036211846305,0.9247236925284511
TSI<=-0.15|BB>=0.055|SEQ_B,-0.15,0.055,SEQ_B,0.3735632183908046,0.5370157268891446,58.97435897435898,42.857142857142854,1.4920467378581201,-2.263586784939664,1.9694246731271972,0.4529181278765239
TSI<=-0.15|BB>=0.055|HL_RECLAIM,-0.15,0.055,HL_RECLAIM,1.1973180076628351,0.5753739930955121,49.6,43.333333333333336,0.8121727662278279,0.030377671448866807,1.5672158076290281,1.022041697506526
TSI<=-0.15|BB>=0.055|MACD_STOCH_TURN,-0.15,0.055,MACD_STOCH_TURN,1.7337164750957854,1.3617184503260453,55.24861878453039,50.70422535211267,1.2552419383443212,0.3434489981017962,1.9248930114615015,1.2328732994650617
TSI<=-0.15|BB>=0.055|MOTION_HL,-0.15,0.055,MOTION_HL,1.417624521072797,0.6329113924050633,50.0,42.42424242424242,0.6648915750975996,-0.6186359169452564,1.4420767981886182,0.676274743038387
TSI<=-0.15|BB>=0.055|PULLBACK_REBOUND,-0.15,0.055,PULLBACK_REBOUND,2.6340996168582373,4.027617951668584,58.909090909090914,50.476190476190474,1.5753124747100682,0.4223573407724581,2.0812675047441926,1.223529877054266
TSI<=-0.15|BB>=0.045|SEQ_B,-0.15,0.045,SEQ_B,0.44061302681992337,0.5945531261986958,54.347826086956516,41.935483870967744,0.946231569928386,-2.030015993856555,1.5257485819880268,0.4857928062294623
TSI<=-0.15|BB>=0.045|HL_RECLAIM,-0.15,0.045,HL_RECLAIM,1.4559386973180075,0.7671653241273494,44.73684210526316,37.5,0.34788014993362376,-0.6419318723731069,1.2174566697351341,0.6393728707883407
TSI<=-0.15|BB>=0.045|MACD_STOCH_TURN,-0.15,0.045,MACD_STOCH_TURN,2.078544061302682,1.74530111238972,50.69124423963134,46.15384615384615,0.802927084890636,-0.11713650856522813,1.5373114700581765,0.9306163091356535
TSI<=-0.15|BB>=0.045|MOTION_HL,-0.15,0.045,MOTION_HL,1.6954022988505746,0.8822401227464518,45.76271186440678,34.78260869565217,0.26320279753461684,-1.2416029078471165,1.1592429396309412,0.44565288226810346
TSI<=-0.15|BB>=0.045|PULLBACK_REBOUND,-0.15,0.045,PULLBACK_REBOUND,3.0268199233716473,4.641350210970464,57.27848101265823,48.760330578512395,1.2927626936891852,0.41637784687787277,1.8174508364859128,1.2155693353469583
TSI<=-0.1|BB>=0.0942267|SEQ_B,-0.1,0.0942267,SEQ_B,0.19157088122605362,0.3068661296509398,80.0,56.25,3.3769179959927014,1.1570697480145669,8.90491776704277,1.652792743480522
TSI<=-0.1|BB>=0.0942267|MACD_STOCH_TURN,-0.1,0.0942267,MACD_STOCH_TURN,0.9291187739463601,0.4411200613732259,54.63917525773196,69.56521739130434,1.0360361710990063,2.6762778269485126,1.7879704064224162,5.5518817649039
TSI<=-0.1|BB>=0.0942267|PULLBACK_REBOUND,-0.1,0.0942267,PULLBACK_REBOUND,1.379310344827586,2.1480629075565782,66.66666666666666,62.5,1.9446545185098687,1.1834002619654391,2.568093967392939,1.887510124852663
TSI<=-0.1|BB>=0.085|SEQ_B,-0.1,0.085,SEQ_B,0.210727969348659,0.3260452627541235,72.72727272727273,52.94117647058824,2.6119281772797445,0.8175018560381562,4.086095377466358,1.42145082413281
TSI<=-0.1|BB>=0.085|MACD_STOCH_TURN,-0.1,0.085,MACD_STOCH_TURN,1.0057471264367817,0.4794783275795934,55.23809523809524,68.0,1.0274887148968666,2.446793401556949,1.785471437120697,4.729545955463871
