decision_time,run_at_utc,universe_n,fetched_n,raw_regime,persistent_regime,gate_c02,gate_c12,gate_c09,early_n,confirmed_n,continuation_n,new_signals,errors,context_json
2026-09-16T18:00:00+00:00,2026-09-16T18:09:46.809641+00:00,401,401,BEAR,BEAR,0,0,0,205,195,39,0,0,"{""decision_time"": ""2026-09-16 18:00:00+00:00"", ""clean_breadth_n"": 401.0, ""clean_breadth_above_ema20_pct"": 12.967581047381547, ""clean_breadth_above_ema50_pct"": 8.728179551122194, ""clean_breadth_above_ema200_pct"": 8.977556109725686, ""clean_breadth_ema20_up_pct"": 11.970074812967582, ""clean_breadth_ret24_pos_pct"": 10.972568578553616, ""clean_breadth_ret72_pos_pct"": 7.980049875311721, ""breadth_ema50_delta24"": -7.231920199501248, ""breadth_ema50_delta72"": -53.61596009975062, ""breadth_ret24_delta24"": -0.2493765586034904, ""breadth_ret72_delta72"": -66.08478802992519, ""btc_h1_dist_ema20"": -0.24192479015744395, ""btc_h1_dist_ema50"": -0.8903370420236034, ""btc_h1_dist_ema200"": -2.1366812273256985, ""btc_h1_ema20_slope3"": -0.08182853100144882, ""btc_h1_ema50_slope3"": -0.11231633327115631, ""btc_h1_rsi"": 43.05812235644214, ""btc_ret_24h"": -1.5514019905927712, ""btc_ret_72h"": -2.0185586405296774, ""btc_h4_open"": 76250.0, ""btc_h4_high"": 76300.0, ""btc_h4_low"": 75423.04, ""btc_h4_close"": 75788.41, ""btc_h4_ema20"": 76772.6837247637, ""btc_h4_dist_ema20"": -1.2820624172686146, ""btc_h4_ema50"": 77398.78220833557, ""btc_h4_dist_ema50"": -2.080616984387307, ""btc_h4_ema200"": 75349.68282293716, ""btc_h4_dist_ema200"": 0.5822548425237661, ""btc_h4_ema20_slope3"": -0.38055603143379857, ""btc_h4_ema50_slope3"": -0.24054267949730201, ""btc_h4_rsi"": 37.40454852114352, ""btc_h4_rsi_delta3"": 2.20494650022723, ""btc_h4_stoch_k"": 15.288829913362639, ""btc_h4_stoch_d"": 10.916833910838127, ""btc_h4_stoch_delta1"": 2.2658918646214445, ""btc_h4_macd_hist"": -153.03145116909064, ""btc_h4_macd_hist_delta1"": 8.252941644294538, ""btc_h4_atr_pct"": 1.1702212302162733, ""btc_h4_vol_ratio"": 1.0288244330411191, ""btc_h4_obv_delta3"": -2402.6818700000003, ""btc_h4_taker_buy_ratio"": 0.5090234965756494, ""btc_h4_upper_wick"": 0.057015143222039356, ""btc_h4_lower_wick"": 0.4166324575807417, ""btc_h4_body_ratio"": 0.526352399197219, ""btc_d1_open"": 78189.2, ""btc_d1_high"": 78250.46, ""btc_d1_low"": 74967.97, ""btc_d1_close"": 75644.48, ""btc_d1_ema20"": 76993.47155415073, ""btc_d1_dist_ema20"": -1.7520856339124369, ""btc_d1_ema50"": 73486.07961169808, ""btc_d1_dist_ema50"": 2.9371554445507986, ""btc_d1_ema200"": 73152.5247668049, ""btc_d1_dist_ema200"": 3.4065197901766764, ""btc_d1_ema20_slope3"": -0.06527977291919118, ""btc_d1_ema50_slope3"": 0.5916359765686385, ""btc_d1_rsi"": 48.261033800821, ""btc_d1_rsi_delta3"": -6.799966992515017, ""btc_d1_stoch_k"": 8.995178060170092, ""btc_d1_stoch_d"": 9.839713505920223, ""btc_d1_stoch_delta1"": -3.6921472732084606, ""btc_d1_macd_hist"": -781.7969887374447, ""btc_d1_macd_hist_delta1"": -89.8636352666158, ""btc_d1_atr_pct"": 3.001183854866276, ""btc_d1_vol_ratio"": 1.53400753342427, ""btc_d1_obv_delta3"": -13228.91128999996, ""btc_d1_taker_buy_ratio"": 0.491197789994936, ""btc_d1_upper_wick"": 0.018662661577037314, ""btc_d1_lower_wick"": 0.20609659130720692, ""btc_d1_body_ratio"": 0.7752407471157557, ""regime_cluster"": 1, ""market_regime"": ""BEAR"", ""regime_trend_score"": -0.1686262977361789, ""regime_recovery_score"": -0.254727233407465, ""raw_regime_group"": ""BEAR"", ""persistent_regime_group"": ""BEAR""}"
2026-09-16T21:00:00+00:00,2026-09-16T21:15:41.169872+00:00,401,401,BEAR,BEAR,0,0,0,340,61,5,0,0,"{""decision_time"": ""2026-09-16 21:00:00+00:00"", ""clean_breadth_n"": 401.0, ""clean_breadth_above_ema20_pct"": 70.32418952618454, ""clean_breadth_above_ema50_pct"": 22.693266832917704, ""clean_breadth_above_ema200_pct"": 12.967581047381547, ""clean_breadth_ema20_up_pct"": 45.885286783042396, ""clean_breadth_ret24_pos_pct"": 41.39650872817955, ""clean_breadth_ret72_pos_pct"": 10.972568578553616, ""breadth_ema50_delta24"": 16.20947630922693, ""breadth_ema50_delta72"": -39.65087281795512, ""breadth_ret24_delta24"": 35.16209476309226, ""breadth_ret72_delta72"": -65.5860349127182, ""btc_h1_dist_ema20"": 0.2881571155947782, ""btc_h1_dist_ema50"": -0.28309102294216126, ""btc_h1_dist_ema200"": -1.5506175537359446, ""btc_h1_ema20_slope3"": 0.010139715319268383, ""btc_h1_ema50_slope3"": -0.070706892479655, ""btc_h1_rsi"": 52.53594970617061, ""btc_ret_24h"": 0.32014121506693805, ""btc_ret_72h"": -1.5122173149638818, ""btc_h4_open"": 75788.41, ""btc_h4_high"": 76560.76, ""btc_h4_low"": 75064.82, ""btc_h4_close"": 76080.0, ""btc_h4_ema20"": 76706.71384621479, ""btc_h4_dist_ema20"": -0.8170260656339079, ""btc_h4_ema50"": 77347.06525898082, ""btc_h4_dist_ema50"": -1.63815557156346, ""btc_h4_ema200"": 75356.42186441178, ""btc_h4_dist_ema200"": 0.960207660722201, ""btc_h4_ema20_slope3"": -0.3060778179077239, ""btc_h4_ema50_slope3"": -0.2154683704661431, ""btc_h4_rsi"": 41.08114307069663, ""btc_h4_rsi_delta3"": 6.304049888452276, ""btc_h4_stoch_k"": 21.767125579465958, ""btc_h4_stoch_d"": 16.692964513856616, ""btc_h4_stoch_delta1"": 6.478295666103319, ""btc_h4_macd_hist"": -118.24659357196231, ""btc_h4_macd_hist_delta1"": 34.78485759712834, ""btc_h4_atr_pct"": 1.222917307929959, ""btc_h4_vol_ratio"": 1.8865443016778687, ""btc_h4_obv_delta3"": 4474.257870000001, ""btc_h4_taker_buy_ratio"": 0.5402789734207769, ""btc_h4_upper_wick"": 0.3213765257964883, ""btc_h4_lower_wick"": 0.4837025549153057, ""btc_h4_body_ratio"": 0.194920919288206, ""btc_d1_open"": 78189.2, ""btc_d1_high"": 78250.46, ""btc_d1_low"": 74967.97, ""btc_d1_close"": 75644.48, ""btc_d1_ema20"": 76993.47155415073, ""btc_d1_dist_ema20"": -1.7520856339124369, ""btc_d1_ema50"": 73486.07961169808, ""btc_d1_dist_ema50"": 2.9371554445507986, ""btc_d1_ema200"": 73152.5247668049, ""btc_d1_dist_ema200"": 3.4065197901766764, ""btc_d1_ema20_slope3"": -0.06527977291919118, ""btc_d1_ema50_slope3"": 0.5916359765686385, ""btc_d1_rsi"": 48.261033800821, ""btc_d1_rsi_delta3"": -6.799966992515017, ""btc_d1_stoch_k"": 8.995178060170092, ""btc_d1_stoch_d"": 9.839713505920223, ""btc_d1_stoch_delta1"": -3.6921472732084606, ""btc_d1_macd_hist"": -781.7969887374447, ""btc_d1_macd_hist_delta1"": -89.8636352666158, ""btc_d1_atr_pct"": 3.001183854866276, ""btc_d1_vol_ratio"": 1.53400753342427, ""btc_d1_obv_delta3"": -13228.91128999996, ""btc_d1_taker_buy_ratio"": 0.491197789994936, ""btc_d1_upper_wick"": 0.018662661577037314, ""btc_d1_lower_wick"": 0.20609659130720692, ""btc_d1_body_ratio"": 0.7752407471157557, ""regime_cluster"": 1, ""market_regime"": ""BEAR"", ""regime_trend_score"": -0.12816844486121043, ""regime_recovery_score"": -0.06202928287711486, ""raw_regime_group"": ""BEAR"", ""persistent_regime_group"": ""BEAR""}"
2026-09-17T00:00:00+00:00,2026-09-17T00:23:59.540380+00:00,401,401,RANGE_MIXED,BEAR,0,0,0,43,358,19,0,0,"{""decision_time"": ""2026-09-17 00:00:00+00:00"", ""clean_breadth_n"": 401.0, ""clean_breadth_above_ema20_pct"": 92.51870324189527, ""clean_breadth_above_ema50_pct"": 53.61596009975062, ""clean_breadth_above_ema200_pct"": 19.45137157107232, ""clean_breadth_ema20_up_pct"": 81.29675810473816, ""clean_breadth_ret24_pos_pct"": 67.58104738154613, ""clean_breadth_ret72_pos_pct"": 23.44139650872818, ""breadth_ema50_delta24"": 44.38902743142145, ""breadth_ema50_delta72"": 32.66832917705736, ""breadth_ret24_delta24"": 57.85536159600997, ""breadth_ret72_delta72"": -44.88778054862843, ""btc_h1_dist_ema20"": 0.32414114613119605, ""btc_h1_dist_ema50"": -0.1820246152343552, ""btc_h1_dist_ema200"": -1.4618357479497246, ""btc_h1_ema20_slope3"": 0.0004418642769898895, ""btc_h1_ema50_slope3"": -0.06496482513710378, ""btc_h1_rsi"": 52.983181577600064, ""btc_ret_24h"": 0.7423277944405227, ""btc_ret_72h"": -0.8276722589635521, ""btc_h4_open"": 76080.0, ""btc_h4_high"": 76422.01, ""btc_h4_low"": 75632.7, ""btc_h4_close"": 76206.01, ""btc_h4_ema20"": 76659.0277656229, ""btc_h4_dist_ema20"": -0.5909516189116837, ""btc_h4_ema50"": 77302.3179939354, ""btc_h4_dist_ema50"": -1.4182084346053059, ""btc_h4_ema200"": 75365.68479677857, ""btc_h4_dist_ema200"": 1.114997104434634, ""btc_h4_ema20_slope3"": -0.2826147248321309, ""btc_h4_ema50_slope3"": -0.2093780606966078, ""btc_h4_rsi"": 42.64884045922922, ""btc_h4_rsi_delta3"": 1.4668495714845093, ""btc_h4_stoch_k"": 23.2745193009498, ""btc_h4_stoch_d"": 20.110158264592837, ""btc_h4_stoch_delta1"": 1.5073937214838047, ""btc_h4_macd_hist"": -78.95294564808381, ""btc_h4_macd_hist_delta1"": 39.293647923878495, ""btc_h4_atr_pct"": 1.2076710918535603, ""btc_h4_vol_ratio"": 0.6821855965508428, ""btc_h4_obv_delta3"": 4332.010009999998, ""btc_h4_taker_buy_ratio"": 0.4381556963698159, ""btc_h4_upper_wick"": 0.27365673816371344, ""btc_h4_lower_wick"": 0.5666974952806936, ""btc_h4_body_ratio"": 0.15964576655559304, ""btc_d1_open"": 75644.48, ""btc_d1_high"": 76560.76, ""btc_d1_low"": 75064.82, ""btc_d1_close"": 76206.01, ""btc_d1_ema20"": 76918.47521566018, ""btc_d1_dist_ema20"": -0.9262601912773283, ""btc_d1_ema50"": 73592.74354841092, ""btc_d1_dist_ema50"": 3.5509838682260986, ""btc_d1_ema200"": 73177.58305236294, ""btc_d1_dist_ema200"": 4.13846265661717, ""btc_d1_ema20_slope3"": -0.13771650526149815, ""btc_d1_ema50_slope3"": 0.5332094844595403, ""btc_d1_rsi"": 50.2175235002092, ""btc_d1_rsi_delta3"": -3.0547578058617972, ""btc_d1_stoch_k"": 10.897856827605942, ""btc_d1_stoch_d"": 10.860120073718235, ""btc_d1_stoch_delta1"": 1.9026787674358108, ""btc_d1_macd_hist"": -779.5370088480843, ""btc_d1_macd_hist_delta1"": 2.2599798893604657, ""btc_d1_atr_pct"": 2.9064945113110534, ""btc_d1_vol_ratio"": 1.058451968948833, ""btc_d1_obv_delta3"": 8618.756679999991, ""btc_d1_taker_buy_ratio"": 0.5059512162782015, ""btc_d1_upper_wick"": 0.23714186397850376, ""btc_d1_lower_wick"": 0.3874888030268551, ""btc_d1_body_ratio"": 0.3753693329946411, ""regime_cluster"": 3, ""market_regime"": ""RANGE_MIXED"", ""regime_trend_score"": -0.07886657265696276, ""regime_recovery_score"": 0.15137329025060273, ""raw_regime_group"": ""RANGE"", ""persistent_regime_group"": ""BEAR""}"
