rank,tier,score,rule,disc_n,disc_mean24,disc_win24,cal_n,cal_mean24,cal_win24,hold_n,hold_mean24,all2026_n,all2026_mean24
18,STRICT,4.212821452983407,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.050789701834993525, ""q"": 0.75, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""h4_donch_pos_d3"", ""side"": ""GE"", ""threshold"": 0.19310372116326113, ""q"": 0.65, ""family"": ""donch"", ""timeframe"": ""h4""}}",55,2.3500109545188748,69.0909090909091,26,2.165499580224693,61.53846153846154,48,0.02285579534528459,20,2.3907028487799074
19,STRICT,3.9816185212775648,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.031248074044156266, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_adx_d3"", ""side"": ""LE"", ""threshold"": -0.2416742656742701, ""q"": 0.35, ""family"": ""adx"", ""timeframe"": ""btc4""}}",75,2.1921111971435154,70.66666666666667,35,1.8941967357696017,62.857142857142854,66,0.7505506907080819,25,2.019276355782913
20,STRICT,3.9499532945725555,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.031248074044156266, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""h4_donch_pos_d3"", ""side"": ""GE"", ""threshold"": 0.19310372116326113, ""q"": 0.65, ""family"": ""donch"", ""timeframe"": ""h4""}}",63,1.9121063975721058,65.07936507936508,27,2.260703970791871,62.96296296296296,51,-0.16241468128276307,21,2.267336046457055
21,STRICT,3.9345852044846388,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.031248074044156266, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_di_spread_d3"", ""side"": ""GE"", ""threshold"": 3.336060964108104, ""q"": 0.65, ""family"": ""di_spread"", ""timeframe"": ""btc4""}}",61,1.8353799936668593,65.57377049180327,27,2.686592730800499,62.96296296296296,48,-0.08035120236884685,31,2.1653405007520687
22,ACCEPTABLE,3.8818796481925415,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.050789701834993525, ""q"": 0.75, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_er10_d1"", ""side"": ""GE"", ""threshold"": 0.0491567874113825, ""q"": 0.65, ""family"": ""er10"", ""timeframe"": ""btc4""}}",75,1.883777143767098,68.0,29,1.9789566546642332,58.620689655172406,51,0.09354687146636857,23,2.0171242498840405
23,STRICT,3.857496209598187,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.050789701834993525, ""q"": 0.75, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_adx_d3"", ""side"": ""LE"", ""threshold"": -0.2416742656742701, ""q"": 0.35, ""family"": ""adx"", ""timeframe"": ""btc4""}}",63,2.6818073570416865,74.60317460317461,34,1.810613753717575,61.76470588235294,62,0.8868442113511176,23,2.159492028763613
24,STRICT,3.8544617945830946,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.031248074044156266, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_er10_d1"", ""side"": ""GE"", ""threshold"": 0.0491567874113825, ""q"": 0.65, ""family"": ""er10"", ""timeframe"": ""btc4""}}",79,1.7761158616674406,68.35443037974683,31,2.109380568916056,61.29032258064516,53,0.22076234032103684,25,1.8882979992137063
25,STRICT,3.7198782673970823,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": -0.006731912334715189, ""q"": 0.35, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_adx_d3"", ""side"": ""LE"", ""threshold"": -0.2416742656742701, ""q"": 0.35, ""family"": ""adx"", ""timeframe"": ""btc4""}}",96,2.050719886034062,69.79166666666666,39,1.6775555567227856,61.53846153846154,75,0.5789847396303316,25,2.019276355782913
26,ACCEPTABLE,3.7053652301693667,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.050789701834993525, ""q"": 0.75, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc1_chop14_d1"", ""side"": ""GE"", ""threshold"": 1.8774567166058587, ""q"": 0.65, ""family"": ""chop"", ""timeframe"": ""btc1""}}",61,1.7856257501006676,67.21311475409836,30,2.2182967245869083,56.666666666666664,60,0.018877373546783958,31,1.9871067135555607
27,ACCEPTABLE,3.681041404329297,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": -0.006731912334715189, ""q"": 0.35, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_adx_acc"", ""side"": ""GE"", ""threshold"": -0.037539051508769655, ""q"": 0.35, ""family"": ""adx"", ""timeframe"": ""btc4""}}",104,1.9098607808755643,69.23076923076923,39,1.6848725398088469,61.53846153846154,81,0.729594671219977,26,1.3563512333387762
