entry,pattern,h1_within1h,h1_within2h,h1_within4h,h1_time,h4_within4h,h4_within8h,h4_within12h,h4_time,ordered_15_1_4,ret_3h,mfe_3h,mae_3h,ret_6h,mfe_6h,mae_6h,ret_12h,mfe_12h,mae_12h,ret_24h,mfe_24h,mae_24h
2024-01-01 04:15:00+00:00,-0++,False,False,True,2024-01-01 07:00:00+00:00,False,True,True,2024-01-01 12:00:00+00:00,True,0.4261903180508231,0.4552632530628875,-0.2992857748965405,0.8486224274293352,0.9491013272149296,-0.2992857748965405,0.9824524746149477,1.2967238111355917,-0.2992857748965405,7.220677049565083,7.546223012102615,-0.2992857748965405
2024-01-02 02:15:00+00:00,-00+,True,True,True,2024-01-02 03:00:00+00:00,False,False,False,,False,0.3571841146749799,0.8869403296985157,-0.057849236773654944,1.437982580483932,1.6626389495873362,-0.057849236773654944,1.192993612637161,1.728692179310909,-0.057849236773654944,0.49399124035283126,1.728692179310909,-1.108625522976825
2024-01-04 17:00:00+00:00,-00+,False,False,False,,False,True,True,2024-01-05 00:00:00+00:00,False,-0.38503000792662334,0.6397916430755268,-0.7412750537877932,0.17234741252405428,1.3012795832861634,-0.7412750537877932,-1.3483863662099416,1.3012795832861634,-3.861397350243456,-1.8914958668327486,1.3012795832861634,-3.861397350243456
2024-01-08 13:15:00+00:00,-0++,False,False,False,,False,False,False,,False,-0.1596523127411431,0.5210874096412299,-0.955208656703177,3.47237128032285,4.769590669209278,-0.955208656703177,3.2101645305778526,4.769590669209278,-0.955208656703177,3.422723845846831,4.769590669209278,-0.955208656703177
2024-01-08 21:30:00+00:00,-00+,False,False,False,,False,False,False,,False,-1.078806934530363,0.05975119846830523,-2.0114258535105844,-0.7647475135637793,0.05975119846830523,-2.0114258535105844,-1.2095219543792446,0.05975119846830523,-2.0114258535105844,-2.5670547703775637,1.6808972302701841,-5.15123581544914
2024-01-16 12:00:00+00:00,-00+,True,True,True,2024-01-16 13:00:00+00:00,False,False,False,,False,-0.8407868699802146,0.5109533232452668,-2.1068560121056956,0.433383773716689,1.1151204749155985,-2.1068560121056956,0.31532999650796256,1.4503783028751105,-2.1068560121056956,-0.8913514142707468,1.4503783028751105,-2.1068560121056956
2024-01-18 17:15:00+00:00,-00+,False,False,False,,False,False,False,,False,-2.937735316667467,0.030544257822029408,-3.0184424613636462,-1.8308503654385189,0.030544257822029408,-3.371649038402158,-2.1348678616454286,0.030544257822029408,-3.371649038402158,-3.269613166237717,0.030544257822029408,-4.329494162389036
2024-01-19 08:45:00+00:00,-00+,True,True,True,2024-01-19 09:00:00+00:00,False,False,True,2024-01-19 20:00:00+00:00,True,0.44897080381953725,0.5320902233204805,-0.10145316092350365,-0.7766531306982682,0.5320902233204805,-1.0871642255181002,0.7992494064542166,2.196343472110307,-2.446089233734372,0.7265925712261145,2.196343472110307,-2.446089233734372
2024-01-19 20:00:00+00:00,-0++,False,False,False,,False,False,False,,False,-1.1688963151210041,2.3717561781211316e-05,-1.5303756743199282,-1.3749070568047417,2.3717561781211316e-05,-1.6757643280755352,-1.23746378624785,2.3717561781211316e-05,-1.6757643280755352,-1.115318343043703,2.3717561781211316e-05,-1.6757643280755352
2024-01-25 10:30:00+00:00,-00+,False,True,True,2024-01-25 12:00:00+00:00,False,False,False,,False,-0.5781267117399347,0.5682446304238864,-0.6833858506063883,-0.6232199464321297,0.5682446304238864,-1.1207927225957426,-0.33229746162769525,0.5682446304238864,-1.3039605934539122,1.4210732389494662,1.5563279882752745,-1.3039605934539122
2024-01-28 06:45:00+00:00,-00+,False,False,True,2024-01-28 10:00:00+00:00,False,False,False,,False,0.38139006966453337,0.6713229137956134,-0.21250424690196779,0.00888872751383385,0.6713229137956134,-0.28802306447957005,-1.0411835729713825,0.6713229137956134,-1.1618061988618034,-0.5895324741525321,0.6713229137956134,-1.868424669920521
2024-02-08 17:30:00+00:00,-00+,False,False,True,2024-02-08 21:00:00+00:00,False,False,True,2024-02-09 04:00:00+00:00,True,0.5538363821869785,1.019109436944099,-0.36105224483341525,0.3595019990419557,1.019109436944099,-0.36105224483341525,2.2719516465049994,2.7243133684559995,-0.36105224483341525,5.219744018985639,5.681230044737884,-0.36105224483341525
2024-02-11 07:00:00+00:00,-00+,False,False,False,,False,False,False,,False,-0.23490658409419662,0.14024397315401949,-0.4684049298283144,0.10089613662231933,0.3764759580576982,-0.7557891022231922,-0.04669966914681023,0.3764759580576982,-0.7557891022231922,-0.190257144324546,1.1173335917864957,-1.100641825341997
2024-02-12 17:15:00+00:00,-00+,False,False,False,,False,True,True,2024-02-13 00:00:00+00:00,False,-0.271066498610506,0.5755817159792009,-1.0924982955939688,-0.3252358394429611,0.5755817159792009,-1.0924982955939688,-0.19983311606985854,0.6430985742133855,-1.0924982955939688,-2.918570552819011,0.6430985742133855,-3.4883576878902978
2024-02-18 01:00:00+00:00,-0++,False,False,True,2024-02-18 05:00:00+00:00,False,True,True,2024-02-18 08:00:00+00:00,True,-0.3141238157516657,0.07645239243396773,-1.0734658379232487,-0.2894711095419278,0.07645239243396773,-1.0734658379232487,-0.2909599396424323,0.6777850693930221,-1.0734658379232487,0.7564610392498228,1.3734360999921424,-1.0734658379232487
