pair,2024_n,2024_mean12,2024_median12,2024_win12,2024_mfe12,2024_mae12,2024_mean24,2025_n,2025_mean12,2025_median12,2025_win12,2025_mfe12,2025_mae12,2025_mean24,2026_n,2026_mean12,2026_median12,2026_win12,2026_mfe12,2026_mae12,2026_mean24,conservative_train_lift
H1_OBV_P4=++0- AND H1_RSI_P4=++0-,49,0.14984809160689289,0.04777504777504493,53.06122448979592,1.6051042845269894,-1.4829686095014303,0.07001594439113465,37,0.5248451875570617,0.19518517563352766,56.75675675675676,1.330392432997412,-0.9033670406088966,0.15892260730684396,27,-0.23091075094894523,-0.346250231152323,37.03703703703704,0.9152202480292903,-1.2584923966956365,0.036251258071262185,0.11888178335613603
H4_RSI_P3=0++ AND H4_WPR_P3=0++,47,0.2958657113857696,-0.23211893529034855,42.5531914893617,1.4867816640409406,-1.2107968568864105,0.47778119905705413,47,0.07297757385013935,0.13926600207927464,57.446808510638306,1.287564129855489,-1.3280590659369704,0.10748421329088256,30,-0.33076912225229343,0.0017723133674929503,50.0,0.9401111751896916,-1.2111347311413647,-0.35674899054447273,0.10575786351700167
