lookback_h,outcome_h,point,winner,loser,scale
12,12,0,0.0,0.0,1.0
12,12,1,0.8223655333669981,-0.8912714970575641,1.0182202557756945
12,12,2,0.10583883484307856,-2.698005376454609,1.4252922783991138
12,12,3,2.7658248454625225,-3.56777510769372,1.7971922856202756
12,12,4,3.532260913110801,-1.3996864975813503,1.9503172381575093
12,12,5,2.795369883131487,-0.7123805727851129,1.9448633623174616
12,12,6,2.5967116131513044,-0.7788032874025733,2.2270469258444403
12,12,7,2.6690970449808438,-0.19413293413651475,2.4667807393733665
12,12,8,2.827436184066265,0.2904945826789758,2.7608446311444075
12,12,9,3.6524843314079787,2.0637395435644317,2.6075594819303762
12,12,10,3.1682391443732567,-0.7662872745569137,2.45256400932493
12,12,11,2.6239713500207236,-1.2288941134351352,2.7360517749136863
12,12,12,2.6890002464816907,-1.6160413256009902,2.779289354261913
12,24,0,0.0,0.0,1.0
12,24,1,0.8223655333669981,-0.8669915133445547,1.0182202557756945
12,24,2,0.10583883484307856,-2.4431360220444183,1.4252922783991138
12,24,3,2.7658248454625225,-2.134459776512123,1.7971922856202756
12,24,4,3.532260913110801,-1.3996864975813503,1.9503172381575093
12,24,5,2.795369883131487,-0.7123805727851129,1.9448633623174616
12,24,6,2.5967116131513044,-0.7788032874025733,2.2270469258444403
12,24,7,2.6690970449808438,-0.19413293413651475,2.4667807393733665
12,24,8,2.827436184066265,0.2904945826789758,2.7608446311444075
12,24,9,3.6524843314079787,2.0637395435644317,2.6075594819303762
12,24,10,3.1682391443732567,-1.188313800367735,2.45256400932493
12,24,11,2.6239713500207236,-1.5106718966924797,2.7360517749136863
12,24,12,2.6890002464816907,-0.36413331085734923,2.779289354261913
12,48,0,0.0,0.0,1.0
12,48,1,0.7390023554830417,-0.8791315052010594,1.0182202557756945
12,48,2,0.10591351387261258,-1.805418454468935,1.4252922783991138
12,48,3,2.518434712148971,-2.700923804825644,1.7971922856202756
12,48,4,3.4593249822141625,-2.03310937105834,1.9503172381575093
12,48,5,2.5762548930023783,-1.9067021235205726,1.9448633623174616
12,48,6,2.5904652332042764,-0.1284864375520815,2.2270469258444403
12,48,7,2.3447733081572415,-0.39495309951134105,2.4667807393733665
12,48,8,2.4605810802200194,1.4214821327905045,2.7608446311444075
12,48,9,3.0792258747094574,0.9409193146896452,2.6075594819303762
12,48,10,2.8082968742825303,0.6052478708945399,2.45256400932493
12,48,11,2.388376919227037,0.7207165393130718,2.7360517749136863
12,48,12,2.518434712148971,1.088260104198643,2.779289354261913
12,72,0,0.0,0.0,1.0
12,72,1,0.9057287112509544,-0.1957013490264445,1.0182202557756945
12,72,2,0.0,-0.09350018260585777,1.4252922783991138
12,72,3,3.3349979681554123,-0.39463246045716793,1.7971922856202756
12,72,4,4.278260471964189,-0.36184535608086704,1.9503172381575093
12,72,5,3.1435851480347914,-0.5829480446621251,1.9448633623174616
12,72,6,3.4149659852118353,0.32073795003990313,2.2270469258444403
12,72,7,3.855899360368308,0.30281471210071953,2.4667807393733665
