name,lookback_h,prototype_outcome_h,q,threshold,viable,viable_horizons,disc_n,disc_win24,disc_mean24,disc_mean72,disc_mean168,cal_n,cal_win24,cal_mean24,cal_mean72,cal_mean168
LB12_PROTO12_Q700,12,12,0.7,0.5160847037388523,False,,172,48.25581395348838,0.5523283110944748,1.7414248990819567,3.1200903513206666,65,43.07692307692308,-0.7788847806107331,-1.342660562658178,-0.012323325757728161
LB12_PROTO12_Q750,12,12,0.75,0.6583329726598441,False,,143,47.55244755244755,0.4998456196454673,1.8554974246011045,2.6641153345995026,58,39.6551724137931,-1.041883340163466,-1.3330008894188425,0.23505720105105204
LB12_PROTO12_Q800,12,12,0.8,0.8344971673118893,False,,115,47.82608695652174,0.14461610191536076,2.023475168782129,3.7309241311098393,43,32.55813953488372,-1.6948139080030524,-1.8924579920187952,-0.4708922335609116
LB12_PROTO12_Q850,12,12,0.85,0.9938404074113004,False,,86,51.162790697674424,0.22646466455029965,0.8674183029959571,1.0589231129622718,37,35.13513513513514,-1.7002836757170987,-1.8818183446552303,0.07219454067164181
LB12_PROTO12_Q875,12,12,0.875,1.0826904473247756,False,,72,52.77777777777778,0.42687132514123144,0.9388105418597098,1.7706782813926327,33,33.33333333333333,-1.9932765657263918,-2.530967648947726,0.011859500571149638
LB12_PROTO12_Q900,12,12,0.9,1.1988157826207904,False,,58,53.44827586206896,0.8799957514656213,1.6844430507442505,2.661865070954453,24,33.33333333333333,-2.269248419699937,-2.3073920156017462,1.4717814225547368
LB12_PROTO12_Q925,12,12,0.925,1.3283795152811313,True,168,43,58.139534883720934,1.6383013537669924,2.533292018866907,4.54183567555334,18,27.77777777777778,-2.4605697367804384,-1.6561354210750443,3.422601241192517
LB12_PROTO12_Q950,12,12,0.95,1.4501568939402203,False,,29,65.51724137931035,1.940481575743382,3.110437231765932,5.038441455786368,12,16.666666666666664,-3.582424799545626,-1.477163882349071,2.0628965281364597
LB12_PROTO12_Q965,12,12,0.965,1.5022653304015285,False,,20,65.0,2.0768246500623198,3.0359055258385594,4.985117771913117,9,11.11111111111111,-4.340969093620233,0.21313602645085902,2.885014344958044
LB12_PROTO24_Q700,12,24,0.7,0.37590803370178016,False,,172,47.674418604651166,0.5214504478934131,1.6739083902907699,2.9239906045654256,64,42.1875,-0.8053954614986613,-1.1630189331758511,0.2149749864217614
