policy,stable_dev,score,disc_mean,disc_win,disc_pf,cal_mean,cal_win,cal_pf
trail_atr1p0_act2p0,False,-0.31295132097399336,0.03227816100112338,79.65313028764805,1.0238844306843649,-0.2863358696913,76.9916142557652,0.8225636581153776
bar_sl0p75_tp3p0_72h,False,-0.3893095552034671,-0.18157164525216002,20.60067681895093,0.7592825228521963,-0.3272743361228056,16.666666666666664,0.5864318727955897
bar_sl0p75_tp4p0_72h,False,-0.39069517462228576,-0.17340801808083012,16.58206429780034,0.7811804447832379,-0.3305391658591962,13.20754716981132,0.5989599415794027
trail_atr1p0_act1p5,False,-0.39308190769924345,-0.08406263177175058,82.69881556683588,0.9246603634656372,-0.3532476144179272,80.76519916142557,0.7344380447912248
bar_sl0p75_tp8p0_72h,False,-0.3963053825893182,-0.16578160334263717,10.363790186125211,0.8053164549802565,-0.33836527273485356,7.70440251572327,0.6137326009702357
bar_sl0p75_tp2p0_72h,False,-0.39888437793108533,-0.21153340527067693,26.86125211505922,0.6955557090743784,-0.3313589496817124,22.48427672955975,0.5498304783375138
bar_sl0p75_tp1p5_72h,False,-0.4043602298362331,-0.22760152284263957,32.10659898477157,0.6471224790949338,-0.33207547169811324,27.463312368972748,0.5181016124125344
bar_sl1p5_tp2p0_72h,False,-0.4046077982666223,-0.1934201646573397,43.02030456852792,0.7998545018479056,-0.3538348358029165,38.41719077568134,0.6615135835752949
bar_sl1p5_tp3p0_72h,False,-0.4051144341707521,-0.16328900985056194,34.34856175972927,0.8532490809649425,-0.3597852502996984,29.874213836477985,0.6978054408596418
bar_sl1p5_tp4p0_72h,False,-0.40785882757150216,-0.12788890368488845,29.018612521150594,0.8937185515721323,-0.36514651609478915,24.47589098532495,0.7152512568219135
bar_sl0p75_tp1p0_72h,False,-0.4085169262318244,-0.22083333333333333,41.66666666666667,0.6015037593984964,-0.3281446540880503,35.53459119496855,0.4641848523748394
bar_sl0p75_tp5p0_72h,False,-0.4229461267507563,-0.17046707919139578,13.917089678511,0.791550924500991,-0.35944708043251505,10.534591194968554,0.5766730245450582
bar_sl1p5_tp1p5_72h,False,-0.42397262853686457,-0.21963626239343553,49.323181049069376,0.7447703195454768,-0.36581970163483096,44.44444444444444,0.6123138206531091
trail_atr2p5_act2p0,False,-0.4271707168107925,-0.20584459260531193,70.34686971235195,0.8556672944195806,-0.39234882864854476,66.98113207547169,0.7678540789183486
bar_sl1p0_tp2p0_72h,False,-0.42782961112266527,-0.19511732805711057,33.50253807106599,0.7553202518160075,-0.36463987211357823,27.830188679245282,0.5787350732727532
bar_sl1p0_tp3p0_72h,False,-0.43035432148780906,-0.15992223086970142,26.14213197969543,0.8194528792185184,-0.37166217126283496,20.80712788259958,0.6087189985001727
bar_sl0p75_tp6p0_72h,False,-0.4313277231056811,-0.15741906926383264,12.39424703891709,0.8108522810034816,-0.3674614853551443,9.067085953878406,0.5742250816630878
bar_sl2p0_tp1p5_72h,False,-0.44093301133994595,-0.20101908995965867,57.021996615905245,0.7866064320936349,-0.38616396904425776,51.78197064989518,0.6348730513620787
bar_sl2p0_tp2p0_72h,False,-0.4414048035880328,-0.17436132237677915,50.54991539763113,0.8388454158603794,-0.3924109142255847,45.125786163522015,0.6733740709170128
bar_sl1p0_tp1p5_72h,False,-0.44142186339648926,-0.21044632243907593,39.59390862944163,0.7096783927136,-0.37190775681341715,33.123689727463315,0.5365726227795194
bar_sl1p0_tp1p0_72h,False,-0.4428330568905947,-0.21607445008460235,49.19627749576988,0.6455731334998612,-0.36457023060796645,41.77148846960168,0.47824782478247835
trail_atr3p0_act2p0,False,-0.4514861095407331,-0.17538213128139932,64.89001692047377,0.8809550133499154,-0.41568261858701866,62.36897274633124,0.7613100603085704
bar_sl1p0_tp4p0_72h,False,-0.45176505726458804,-0.14107755462899757,21.446700507614214,0.8502535772750474,-0.3930087620055148,16.352201257861633,0.608291364939512
bar_sl1p5_tp1p0_72h,False,-0.4522087953671714,-0.22418098123092856,59.01015228426396,0.6780221856216028,-0.3810188630604075,52.725366876310275,0.5254004512882408
fixed_6h,False,-0.4604468844438532,-0.21652498497129807,44.33164128595601,0.7863542198919135,-0.40931398831351434,38.102725366876314,0.6591140257977413
bar_sl2p0_tp1p0_72h,False,-0.46580931157826594,-0.20429942454734148,66.49746192893402,0.7225244896891547,-0.39782166942416014,60.0104821802935,0.5467490523059614
bar_sl1p0_tp8p0_72h,False,-0.4661060997968297,-0.135668352600174,13.663282571912013,0.868922354333002,-0.40928011256702745,9.853249475890985,0.6211600851346516
bar_sl2p0_tp3p0_72h,False,-0.47170024557098567,-0.14276341177128513,41.28595600676819,0.8885472775651175,-0.4263475906125131,35.63941299790356,0.6976489669435163
bar_sl1p5_tp8p0_72h,False,-0.4720174639658596,-0.12801118020829308,19.37394247038917,0.9062421314699535,-0.42740981625393065,15.199161425576522,0.7026156819204737
bar_sl1p5_tp5p0_72h,False,-0.4763178199659929,-0.10406153364960669,25.296108291032148,0.9177158786533491,-0.4288852060046421,20.07337526205451,0.6837825735909946
trail_atr1p5_act2p0,False,-0.47907294413790824,-0.1370168513113074,77.79187817258884,0.8992614117215711,-0.43864106044169127,74.84276729559748,0.7304541086918868
trail_atr2p5_act1p5,False,-0.48727148643047946,-0.26259345893776825,65.05922165820644,0.7885904765350458,-0.4421060402742685,61.16352201257862,0.6988970256252599
bar_sl1p0_tp5p0_72h,False,-0.48793717972451334,-0.12960408196003204,18.316412859560067,0.8676408953581429,-0.42642202057803946,13.259958071278827,0.5898989390235075
fixed_12h,False,-0.4887031392452873,-0.01721663710644935,47.25042301184433,0.9872004230533878,-0.4466029880330169,41.9811320754717,0.7193323252515306
bar_sl2p0_tp4p0_72h,False,-0.49000353220026865,-0.08462936229310394,35.659898477157356,0.9396350672846469,-0.4465596634149064,29.612159329140464,0.7103742080975849
be_act2p0_stop0p0_tp4p0,False,-0.5010778553658434,-0.09955024117241998,36.80203045685279,0.9306669625313313,-0.4603798880104354,34.276729559748425,0.7286802176306132
trail_atr3p0_act1p5,False,-0.5024884813749033,-0.22570566488747615,59.64467005076142,0.82749631676644,-0.45807690343472207,54.979035639413,0.7039228137321248
bar_sl1p5_tp6p0_72h,False,-0.5027799557090074,-0.11705443255005368,22.377326565143825,0.910936489084858,-0.4540056772810968,17.61006289308176,0.6748381438139295
bar_sl1p0_tp6p0_72h,False,-0.5034215425545376,-0.12520965383077776,16.159052453468696,0.8754223990061836,-0.4410579403834433,11.477987421383649,0.5842426521927043
fixed_3h,False,-0.5042637895367987,-0.2510000908298268,41.159052453468696,0.6694440015080414,-0.431426177869243,35.482180293501045,0.5144159222162951
be_act2p0_stop0p0_tp3p0,False,-0.509139045266214,-0.1047535910189121,47.88494077834179,0.9258990775304117,-0.467323534272432,44.49685534591195,0.7212299267081201
bar_sl2p5_tp1p5_72h,False,-0.5106444508398321,-0.2053895954579875,62.22504230118443,0.7974270247827243,-0.453069923835485,56.079664570230605,0.6161698199710193
trail_atr2p0_act2p0,False,-0.5123733395932533,-0.18694517220584334,74.23857868020305,0.8652224304865203,-0.46975767923616546,71.12159329140462,0.7158955976194146
bar_sl2p5_tp1p0_72h,False,-0.5250336787365989,-0.21318267327830595,71.02368866328257,0.7271688472794672,-0.45450749842922394,64.0461215932914,0.5298254646175006
bar_sl2p5_tp2p0_72h,False,-0.5290576268350191,-0.17703067565864106,55.87986463620981,0.8500033415724048,-0.4765032195033068,49.266247379454924,0.6496372844552516
be_act2p0_stop0p5_tp3p0,False,-0.531706899971977,-0.17028283115301332,80.16074450084602,0.8737813105382982,-0.4864050807842092,77.41090146750524,0.6979878720815481
progress_3h_mfe1p0_exit48h,False,-0.5317391101193014,0.2798623333362562,32.69881556683587,1.1803437413987325,-0.49154225401197343,28.459119496855344,0.7320209592844797
be_act2p0_stop0p25_tp3p0,False,-0.5363415549444415,-0.12325041580348779,80.16074450084602,0.9086431329982574,-0.49064485974214134,77.41090146750524,0.6953553653179994
be_act2p0_stop0p5_tp4p0,False,-0.5370482860442916,-0.14104298123196984,80.16074450084602,0.8954547553130955,-0.4912913768321649,77.41090146750524,0.6949539385858219
be_act2p0_stop0p25_tp4p0,False,-0.5428590159316053,-0.10074410593658877,80.16074450084602,0.9253254779932519,-0.4966070282566678,77.41090146750524,0.6916534155004163
trail_atr1p5_act1p5,False,-0.5519434934447279,-0.24822079093230714,78.13028764805414,0.7816286002520294,-0.4970058010668889,75.26205450733752,0.6337487174810734
be_act2p0_stop0p0_tp5p0,False,-0.5530980216646849,-0.06917444212538326,30.752961082910325,0.9522251224042063,-0.5085089964729373,27.358490566037734,0.7027398320550163
trail_atr1p0_act1p0,False,-0.5574939310292601,-0.18946716222871196,81.21827411167513,0.7699658589677997,-0.4885687826171123,77.72536687631028,0.5404990105856806
be_act2p0_stop0p5_tp6p0,False,-0.5606925219385059,-0.10171301660595872,80.16074450084602,0.9246072926420612,-0.5129211064271962,77.41090146750524,0.6815238965912684
bar_sl3p0_tp1p5_72h,False,-0.5655357626713369,-0.21548247426310607,66.11675126903553,0.7994745805111483,-0.5062669888250028,59.74842767295597,0.604874841024439
be_act2p0_stop0p25_tp6p0,False,-0.5663111827230324,-0.0736275689590141,80.16074450084602,0.9454250601817447,-0.5180610531778227,77.41090146750524,0.6783324696986022
be_act2p0_stop0p5_tp5p0,False,-0.5688780041091189,-0.10232079016967108,80.16074450084602,0.9241567928342898,-0.5204091794927602,77.41090146750524,0.6768745025576088
be_act1p5_stop0p0_tp2p0,False,-0.570979546610688,-0.2509236293001207,51.734348561759724,0.7865060171474213,-0.5153360090136512,49.0041928721174,0.6290430826864213
bar_sl2p0_tp5p0_72h,False,-0.5741895753785873,-0.038678201761789065,31.76818950930626,0.9739507120418051,-0.5262476928317369,24.737945492662476,0.6803874496876641
be_act2p0_stop0p25_tp5p0,False,-0.5762977868155424,-0.05844537906102528,80.16074450084602,0.9566785500321742,-0.5271967912520009,77.41090146750524,0.67266002957639
bar_sl3p0_tp1p0_72h,False,-0.5780163771234852,-0.23448607986318298,74.06937394247038,0.7164758946427972,-0.505346072852704,67.24318658280922,0.5155313048614593
trail_atr2p0_act1p5,False,-0.5789294897747324,-0.25952032037795103,71.95431472081218,0.7807315706245859,-0.5230432422681509,68.39622641509435,0.6274250166227906
bar_sl3p0_tp2p0_72h,False,-0.5798112597361951,-0.17815479642269236,60.19458544839256,0.8582023889134689,-0.5265262530513929,53.301886792452834,0.6447666221013187
be_act2p0_stop0p0_tp6p0,False,-0.5822852156910038,-0.09900535101768362,26.057529610829107,0.9320632197830377,-0.5355485811981906,23.270440251572328,0.6884224367145787
bar_sl4p0_tp1p5_72h,False,-0.5847174460527313,-0.23508168723028164,71.31979695431471,0.7976622516707976,-0.5277902860964847,66.50943396226415,0.6204856002916893
bar_sl2p5_tp3p0_72h,False,-0.5872365229365456,-0.130862420849604,46.827411167512686,0.907687657200933,-0.5375809321823791,39.46540880503145,0.6689627283055569
bar_sl2p5_tp4p0_72h,False,-0.5895618991886683,-0.07279791045682803,40.86294416243655,0.953676006013905,-0.5437114221726693,33.59538784067086,0.6943301532266736
progress_3h_mfe0p5_exit48h,False,-0.5897029402295652,0.332340682711689,36.632825719120135,1.176716395031573,-0.5538239362238753,32.075471698113205,0.7608066399620675
bar_sl2p0_tp8p0_72h,False,-0.5985496375179402,-0.03550190598437189,25.16920473773266,0.978187365503723,-0.551808021729119,18.867924528301888,0.6883892280745257
trail_atr3p0_act1p0,False,-0.60103422201004,-0.285587699810381,49.407783417935704,0.7542716203039337,-0.5434639723646747,44.54926624737946,0.6161983356975645
progress_12h_mfe0p5_exit48h,False,-0.6029052087895794,0.34644736234410495,44.16243654822335,1.1535949678660171,-0.5715607962668786,39.20335429769392,0.7910372498486611
be_act1p5_stop0p0_tp3p0,False,-0.6030693845847431,-0.21989611390947555,35.87140439932318,0.8178228207712185,-0.5455558760103418,32.18029350104822,0.6165766095039913
be_act1p5_stop0p25_tp2p0,False,-0.6063272689617993,-0.2735758038215392,84.22165820642978,0.7536118531425018,-0.5445550865817854,82.44234800838575,0.5881854507999076
bar_sl2p0_tp6p0_72h,False,-0.6072424875326152,-0.04241550485237542,28.637901861252114,0.9726576172152501,-0.5581606654374539,21.855345911949687,0.6727878526989245
bar_sl4p0_tp2p0_72h,False,-0.6102858876632201,-0.17967644036689112,66.0321489001692,0.8681011739332934,-0.5591141981865266,60.27253668763103,0.6588554034887104
be_act1p5_stop0p0_tp4p0,False,-0.6124976208746603,-0.23848135879430457,26.903553299492383,0.8053183257509565,-0.5546631114317662,24.31865828092243,0.6144366037140387
bar_sl4p0_tp1p0_72h,False,-0.6213781908511008,-0.2538168148581896,78.55329949238579,0.7123051651156176,-0.5486057743507211,72.79874213836479,0.5148505566641356
