rank,method,target_retention,selection_score,disc_retention,disc_mean24,disc_win24,cal_retention,cal_mean24,cal_win24,cross_n,cross_mean24,cross_win24,all2026_n,all2026_mean24,all2026_win24
1,QUALITY,0.4,-1000000000.0,0.41582064297800336,0.13085822352047602,49.542217700915565,0.3805031446540881,-0.36663128609157825,45.59228650137741,974,-0.14872221255496829,46.91991786447638,689,0.4280945249972906,50.07256894049347
2,QUALITY,0.45,-1000000000.0,0.467005076142132,0.027114625463886384,48.278985507246375,0.42872117400419285,-0.3598106104109131,45.11002444987775,1096,-0.16629945315636854,47.17153284671533,763,0.33640716035596846,49.0170380078637
3,QUALITY,0.5,-1000000000.0,0.5148054145516074,-0.0017188147908307996,48.06902218570255,0.48165618448637315,-0.42014681975765605,44.17845484221981,1213,-0.18254779769548493,46.74361088211047,829,0.26713296629434663,48.13027744270205
4,QUALITY,0.55,-1000000000.0,0.5642978003384095,0.02071104140229559,49.17541229385307,0.5324947589098532,-0.47177802273352815,44.29133858267716,1328,-0.10458944592655209,47.96686746987952,915,0.25760967008166086,47.540983606557376
5,QUALITY,0.6,-1000000000.0,0.6070219966159053,0.0326885642042649,48.98954703832752,0.5911949685534591,-0.48173370112741015,44.06028368794326,1437,-0.1403625032532046,47.947112038970076,961,0.24838903693800307,47.45057232049948
6,QUALITY,0.65,-1000000000.0,0.6522842639593909,0.03862083535665873,48.57328145265888,0.6472746331236897,-0.5064661692482395,43.7246963562753,1536,-0.16655798152471893,47.00520833333333,1016,0.2371788998820316,46.94881889763779
7,QUALITY,0.7,-1000000000.0,0.7013536379018612,0.02004662066397924,48.492159227985525,0.6981132075471698,-0.5226433393798725,43.61861861861862,1647,-0.1333951094770842,46.994535519125684,1084,0.1714649398969397,46.217712177121776
8,R2_SIMILARITY,0.4,-1000000000.0,0.372673434856176,-0.02736548332321953,49.03518728717366,0.4339622641509434,-0.5033969438092143,45.410628019323674,915,-0.4184277786652516,46.775956284153004,632,0.3129770977250435,49.36708860759494
9,R2_SIMILARITY,0.45,-1000000000.0,0.42681895093062605,-0.09878999815284219,48.364717542120914,0.47851153039832284,-0.5526265331890717,44.57831325301205,1015,-0.4068712461095777,46.502463054187196,701,0.23617560256434222,48.502139800285306
10,R2_SIMILARITY,0.5,-1000000000.0,0.4805414551607445,-0.08891197495161497,48.8556338028169,0.5241090146750524,-0.604780489246002,43.9,1166,-0.4719412149131259,45.96912521440824,784,0.23098842677661877,47.95918367346938
11,R2_SIMILARITY,0.55,-1000000000.0,0.5329949238578681,-0.09136794486280146,48.25396825396825,0.5712788259958071,-0.6075503718747921,44.12844036697248,1292,-0.38831375102231375,46.98142414860681,862,0.19051677752328422,47.33178654292343
12,R2_SIMILARITY,0.6,-1000000000.0,0.5833333333333334,-0.10849738674627711,48.150833937635966,0.6205450733752621,-0.6545671417725015,43.49662162162162,1416,-0.32054283563132735,47.24576271186441,927,0.23698883234765125,47.46494066882416
13,R2_SIMILARITY,0.65,-1000000000.0,0.63917089678511,-0.1333972693015659,47.58438120450033,0.6635220125786163,-0.639409887750849,43.04897314375987,1524,-0.2758675591636565,47.112860892388454,990,0.1596976259691231,46.464646464646464
14,R2_SIMILARITY,0.7,-1000000000.0,0.6907783417935702,-0.10567273572441295,48.009797917942436,0.7112159329140462,-0.6953719263969521,42.22549742078113,1626,-0.2866997318359934,46.86346863468634,1042,0.10425516175886589,46.257197696737045
15,HYBRID,0.4,-1000000000.0,0.40820642978003385,0.08013584476432897,49.4300518134715,0.389937106918239,-0.12861151323141787,47.446236559139784,962,-0.3342455008728983,46.36174636174636,707,0.4453490944767704,50.495049504950494
16,HYBRID,0.45,-1000000000.0,0.44754653130287647,0.08982563654730945,50.0945179584121,0.4528301886792453,-0.179626022071399,46.99074074074074,1094,-0.2634481730030089,46.25228519195612,774,0.35217959510467994,49.224806201550386
17,HYBRID,0.5,-1000000000.0,0.5,0.04733096340516729,49.49238578680203,0.5,-0.24123418167148036,46.64570230607967,1213,-0.14437242031430977,47.40313272877164,841,0.23840309552591987,47.324613555291315
18,HYBRID,0.55,-1000000000.0,0.5482233502538071,0.07305574173711778,49.074074074074076,0.5524109014675053,-0.32460691430726424,46.110056925996204,1322,-0.15218030638507637,47.0499243570348,890,0.2212343353889696,47.52808988764045
19,HYBRID,0.6,-1000000000.0,0.5930626057529611,0.05358831393106798,48.573466476462194,0.6084905660377359,-0.4279729632765599,44.875107665805345,1433,-0.12210977179156669,47.592463363572925,943,0.1849612381601875,47.50795334040297
20,HYBRID,0.65,-1000000000.0,0.6467851099830795,0.036694163902094186,48.463047743623285,0.6540880503144654,-0.49429922920312436,44.31089743589743,1561,-0.17406296780958597,47.08520179372198,1016,0.21473456239280872,46.94881889763779
21,HYBRID,0.7,-1000000000.0,0.6962774957698815,0.013542635175286572,48.42041312272175,0.7049266247379455,-0.6003330440827297,43.27137546468401,1663,-0.21738197628961223,46.78292242934456,1074,0.21777511199351077,46.64804469273743
