time_TR,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,kdj_k,kdj_d,kdj_j,wpr,obv,stochrsi_k,stochrsi_d,hammer_like,bull_engulf,higher_low,higher_high,sweep8_reclaim,reclaim_prev_high,volume_expansion,range_expansion
2026-09-15 12:00:00+03:00,77000.01,77000.01,76900.0,76933.35,101.83243,31.796991044839615,-273.5705620844092,-263.5147037731402,-10.055858311268992,28.226985203715564,21.54294447392933,41.59506666328802,-77.56775755682183,247.14766000000174,45.40506038292846,29.088193187532188,False,False,True,False,False,False,0.7639094516966891,0.6658012116370104
2026-09-15 12:15:00+03:00,76933.35,76998.16,76869.99,76912.0,118.57835,31.242597008449053,-266.7470454079303,-264.1611721000982,-2.5858733078320597,30.280551598372078,24.45548018207691,41.930694430962404,-79.65222994610615,128.56931000000174,60.47118270947402,45.93794618820619,False,False,False,False,False,False,0.9357409361461559,0.8532720857466147
2026-09-15 12:30:00+03:00,76912.0,76991.62,76906.17,76991.62,87.90972,35.742133754080555,-252.0096799729945,-261.73087367467747,9.721193701682978,36.856594785052394,28.589185049735406,53.39141425568637,-67.84051449817477,216.47903000000173,71.7888442780434,59.22169579014868,False,True,True,False,False,False,0.6937246444156665,0.568870248319004
2026-09-15 12:45:00+03:00,76991.62,77059.87,76959.99,76984.05,175.15019,35.50423787323446,-238.195280501488,-257.0237550400396,18.828474538551575,48.212837123896044,35.13040240778895,74.37770655611024,-62.444596205090676,41.32884000000172,85.87662148625623,72.7122161579246,False,False,True,True,False,False,1.3139123323235136,0.6649357566073543
2026-09-15 13:00:00+03:00,76984.05,77054.64,76910.0,76996.25,149.66884,36.24078081335943,-223.68433754800935,-250.35587154163355,26.671533993624195,59.522977453130316,43.26126075623607,92.0464108469188,-60.580264540286606,190.9976800000017,99.41406474372558,85.69317683600843,True,True,False,False,False,False,1.1227606127093253,0.9948414608982736
2026-09-15 13:15:00+03:00,76996.25,77042.01,76892.0,76892.0,126.3432,32.79436959505617,-218.0824952050025,-243.90119627430735,25.818701069304865,57.12982031296974,47.884113941813965,75.6212330552813,-68.96659638951107,64.65448000000171,91.22723019907325,92.17263880968505,False,False,False,False,False,False,0.9477802369795666,1.0130677021779348
2026-09-15 13:30:00+03:00,76892.0,77052.01,76872.9,77052.01,207.70152,41.92343313320838,-198.44398630144133,-234.80975427973414,36.36576797829281,70.27010182623536,55.34610990328776,100.11808567213056,-42.510642510642576,272.3560000000017,91.81316545534771,94.15148679938223,False,True,False,True,False,True,1.4851780033947901,1.1772322455552555
2026-09-15 13:45:00+03:00,77052.01,77176.07,77008.51,77053.8,120.18989,42.01831909436927,-180.65342819978832,-223.978489063745,43.32506086395668,67.90655125613655,59.53292368757069,84.6538063932683,-39.19543023821055,392.5458900000017,91.81316545534771,91.61785370325627,False,False,True,True,False,True,0.8594226024847554,1.1013178218148196
2026-09-15 14:00:00+03:00,77053.8,77223.32,77012.0,77038.51,129.58032,41.396161740930495,-165.8759433258383,-212.35797991616369,46.48203659032538,61.16929736191882,60.07838157902006,63.35112892771633,-35.55884786331528,262.96557000000166,98.95311887588174,94.1931499288591,False,False,True,True,False,False,0.9265692467578379,1.3466305559981702
2026-09-15 14:15:00+03:00,77040.0,77110.34,76972.0,77001.08,108.3644,39.840954314855765,-155.3936865918222,-200.9651212512954,45.5714346594732,53.14662937742162,57.76779751182058,43.90429310862369,-42.76066419102241,154.60117000000167,95.28934784529956,95.35187739217639,False,False,False,False,False,False,0.7748639645539157,0.9342562890427096
2026-09-15 14:30:00+03:00,77001.08,77001.09,76850.0,76926.33,147.516,36.862511789976715,-151.37318702423363,-191.04673440588306,39.67354738164943,42.246508230970846,52.594034418204004,21.551455856504532,-57.58968392476218,7.085170000001682,85.40061699727057,93.21436123948399,False,False,False,False,True,False,1.0159864485551655,1.0035868482231876
