time_TR,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,kdj_k,kdj_d,kdj_j,wpr,obv,stochrsi_k,stochrsi_d,hammer_like,bull_engulf,higher_low,higher_high,sweep8_reclaim,reclaim_prev_high,volume_expansion,range_expansion
2026-09-15 19:00:00+03:00,76512.01,76576.47,76274.0,76388.0,598.21425,34.455544902393555,-420.6301346885739,-291.63301394533596,-128.99712074323793,37.4248632233808,28.57324944190255,55.12809078633729,-66.08525033243379,-6354.437809999993,40.22290057548562,21.23216437112659,False,False,True,False,False,False,1.1765777623898412,0.8988573721044368
2026-09-15 20:00:00+03:00,76388.01,77343.44,76194.21,76962.0,1073.2259800000002,45.268736156805346,-380.91645421607245,-309.48970199948326,-71.4267522165892,50.9694052223273,36.038634702044135,80.83094626289363,-36.56833278019541,-5281.211829999993,73.55623390881895,44.364150122093946,False,False,False,True,False,True,2.110838753986627,3.415194425045705
2026-09-15 21:00:00+03:00,76962.0,77205.39,74967.97,76000.0,3667.9836400000004,34.88221988949826,-422.20155978074763,-332.03207355573613,-90.1694862250115,48.46136919528396,40.179546199790735,65.0250151862704,-62.605711883936195,-8949.195469999993,72.5891041947928,62.12274622636579,False,False,False,False,True,False,6.604445252618323,6.423368980119056
2026-09-15 22:00:00+03:00,76000.0,76305.99,75813.75,76186.48,1145.76186,37.85863955082605,-434.8601289863291,-352.59768464185476,-82.26244434447432,49.40609049502369,43.25506096486839,61.70814955533427,-55.84884740530337,-7803.433609999993,74.32050850227654,73.48861553529609,False,False,True,False,False,False,1.9062390646107283,1.4131629943300053
2026-09-15 23:00:00+03:00,76186.48,76245.98,75613.2,75935.24,526.79495,35.50405778156416,-459.8640777486871,-374.05096326322126,-85.81311448546586,46.51042692974839,44.34018295316172,50.850914882921714,-59.280900200802215,-8330.228559999992,60.230637744262715,69.04675014711069,False,False,False,False,False,False,0.8764448772362307,1.6959609766556392
2026-09-16 00:00:00+03:00,75935.24,75956.58,75392.35,75453.85,478.08145,31.46591144880209,-512.6149313061178,-401.76375687180064,-110.85117443431716,37.82497045744201,42.168445454588486,29.138020463149047,-79.54594248717078,-8808.310009999992,55.30110063621313,63.284082294250794,False,False,False,False,False,False,0.7953987367459942,1.4087084612887606
2026-09-16 01:00:00+03:00,75453.85,75747.98,75140.64,75668.0,703.17506,35.00730587009117,-531.0189911439229,-427.61480372622515,-103.40418741769776,35.03968550014374,39.79219213644024,25.53467222755073,-70.53088441445279,-8105.134949999992,51.18678969778103,55.57284269275229,True,False,False,False,False,False,1.0759492327664388,1.3293642542107396
2026-09-16 02:00:00+03:00,75667.99,75942.13,75562.01,75644.48,412.63788,34.794646750679775,-541.2628671861457,-450.3444164182093,-90.91845076793646,32.852788911956,37.479057728278825,23.600251279310342,-71.52100426441949,-8517.772829999993,50.16315027461125,52.2170135362018,False,False,True,True,False,False,0.631389586536772,0.8320182110689275
2026-09-16 03:00:00+03:00,75644.48,75915.49,75578.61,75772.1,340.54755,37.029895409396886,-532.9399453709484,-466.86352220875716,-66.07642316219125,33.18566135731296,36.047925604623536,27.461132862691798,-66.14859375197311,-8177.225279999992,58.19165995939708,53.18053331059645,False,True,True,False,False,False,0.5665793790408377,0.73737318463879
2026-09-16 04:00:00+03:00,75772.1,75964.01,75457.52,75489.14,471.46585,34.228219539398594,-542.9180556824431,-482.0744289034944,-60.8436267789487,29.43699365724288,33.844281622163315,20.62241772740201,-78.06034174289728,-8648.691129999992,57.06748307543263,55.14076443648032,False,False,False,True,False,False,0.7843921606012456,1.014268120513037
2026-09-16 05:00:00+03:00,75489.14,76111.0,75483.32,75886.35,431.22778,40.978969218914685,-512.8622953204322,-488.23200218688197,-24.630293133550197,33.30679036526852,33.66511786986505,32.590135356075464,-61.33901922566885,-8217.463349999993,65.99110564187059,60.4167495589001,False,True,True,True,False,False,0.7174468523340102,1.256956334544863
2026-09-16 06:00:00+03:00,75886.36,76076.01,75768.25,75824.01,369.27253,40.28019752316068,-488.4427418137784,-488.2741501122613,-0.16859170151712988,41.75144414534418,36.36055996169143,52.53321251264968,-63.96334199126938,-8586.735879999993,70.68110514288331,64.57989795339552,False,False,True,False,False,False,0.6564791292373432,0.616302704434624
2026-09-16 07:00:00+03:00,75824.0,76022.67,75805.7,75864.02,321.09965,40.97584702035361,-460.55263303434185,-482.72984669667744,22.17721366233559,49.64900167768293,40.7900405336886,67.36692396567162,-62.27904372608358,-8265.636229999993,76.24476191319273,70.97232423264889,False,False,True,False,False,False,0.6178898035726943,0.43449180459183573
2026-09-16 08:00:00+03:00,75864.02,75981.36,75677.64,75962.01,372.63126,42.73521874765479,-425.6360790557519,-471.3110931684924,45.675014112740485,61.31463598936213,47.63157235224644,88.68076326359352,-58.15396532054738,-7893.004969999993,76.31629461931944,74.4140538917985,True,False,False,False,False,False,0.7170517191359305,0.6082124297858328
2026-09-16 09:00:00+03:00,75962.01,76038.83,75830.0,76030.01,399.86157,43.98305922975444,-388.0047495391191,-454.6498244426177,66.64507490349865,71.42762835692402,55.563591020472295,103.15570302982748,-55.291373917582916,-7493.143399999993,80.40960541468108,77.65688731573108,True,False,True,True,False,True,0.8072880180493758,0.41819110270043475
2026-09-16 10:00:00+03:00,76030.01,76097.54,75739.36,75766.63,721.95197,40.31840215565221,-375.11017798577086,-438.7418951512484,63.63171716547754,63.38579765632494,58.17099323242317,73.81540650412848,-64.30442205754824,-8215.095369999992,81.01774959319094,79.24788320906383,False,False,False,True,False,False,1.3892471104600073,0.7172709340862785
