type,family,name,disc_n,cal_n,disc_net24_imp,cal_net24_imp,disc_net12_imp,cal_net12_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score,stable_train_cal
pair,BB+PULLBACK,h1_bb_width GE DQ65(0.078816463) & causal_dd_high_48h LE DQ25(-7.3594696),23,42,1.6599266033888553,2.5198418071305,-0.39104456332557225,2.401064301400676,19.719495091164077,28.77846790890269,19.07433380084151,28.778467908902694,2.4961325349766574,False
pair,BB+PULLBACK,h4_bb_width GE DQ65(0.19233492) & causal_dd_high_48h LE DQ25(-7.3594696),27,48,1.4562384453304706,2.5879088464343236,0.2438345402781248,1.9060232602658045,12.473118279569874,20.7427536231884,11.827956989247312,20.74275362318841,2.152333222599857,True
pair,BB+PULLBACK,m15_bb_width GE DQ50(0.027786062) & causal_dd_high_48h LE DQ25(-7.3594696),29,53,1.281491304030221,2.312740154693615,-0.09781608135091036,1.6371754525251652,14.771968854282534,21.4109926168991,14.12680756395995,21.4109926168991,1.9729508924650774,True
pair,BB+PULLBACK,h1_bb_width GE DQ65(0.078816463) & causal_dd_high_48h LE DQ40(-4.8205039),35,42,1.203259135394787,2.5198418071305,0.0011020594433805986,2.401064301400676,14.377880184331786,28.77846790890269,13.732718894009214,28.778467908902694,1.909635639610108,True
pair,BB+PULLBACK,h1_bb_width GE DQ65(0.078816463) & causal_dd_high_4h LE DQ60(-1.3174799),43,47,1.4314381547547836,1.5221420316951222,0.8715062706870496,1.458117206377815,1.6204051012753098,30.80481036077706,3.3008252063015675,30.80481036077706,1.8510940066595416,True
pair,BB+PULLBACK,h1_bb_width GE DQ65(0.078816463) & causal_dd_high_8h LE DQ60(-1.462766),43,48,1.5027658353411382,1.3607416666718306,0.9302706386256927,1.3092658867279803,1.6204051012753098,31.159420289855085,3.3008252063015675,31.159420289855078,1.8009650473551138,True
pair,BB+PULLBACK,m15_bb_width GE DQ35(0.022095776) & causal_dd_high_48h LE DQ25(-7.3594696),33,57,0.9844100741150168,2.118795105604094,-0.2639357019018942,1.6479885198192041,15.50342130987292,18.00152555301296,14.858260019550336,18.00152555301297,1.6543004181365482,False
pair,BB+PULLBACK,h1_bb_width GE DQ50(0.063900884) & causal_dd_high_8h LE DQ60(-1.462766),61,52,1.165885136562367,1.3565520002617766,1.0162331441879868,1.2939814082753507,1.5441565309360001,30.518394648829435,2.5383395029085136,30.518394648829435,1.6186582230144129,True
pair,BB+PULLBACK,h1_bb_width GE DQ65(0.078816463) & causal_dd_high_4h LE DQ50(-1.578354),37,43,1.034098109276493,1.5662424118410194,0.866541055649362,1.4840240383097845,2.563208369659975,33.87259858442872,4.6207497820401,33.872598584428715,1.506698725484371,True
pair,BB+PULLBACK,h1_bb_width GE DQ65(0.078816463) & causal_dd_high_2h LE DQ40(-1.3146106),33,36,0.9470380066855633,1.2433882685463393,0.6441146621101492,1.2181664571285544,6.412512218963826,31.159420289855085,5.76735092864125,31.159420289855078,1.480200523565855,True
pair,BB+PULLBACK,h1_bb_width GE DQ50(0.063900884) & causal_dd_high_2h LE DQ40(-1.3146106),42,39,1.0601476312439133,1.248993634065013,0.7056401358937303,1.1895082588231607,2.949308755760356,29.877369007803786,2.3041474654377865,29.877369007803793,1.4416838907882852,True
pair,BB+PULLBACK,h1_bb_width GE DQ50(0.063900884) & causal_dd_high_4h LE DQ60(-1.3174799),59,51,1.0384655141886108,1.5052113628046127,0.8895344876899929,1.4308584189633815,0.04373974849643503,30.179028132992322,1.0934937124111528,30.17902813299233,1.3729846515832245,True
pair,BB+PULLBACK,h1_bb_width GE DQ65(0.078816463) & causal_dd_high_24h LE DQ60(-2.3674833),41,48,0.9895308567232437,2.0606913750506872,0.17739470893003761,1.8982488055730917,4.343036978756871,31.159420289855085,6.136900078678202,31.159420289855078,1.304648115785027,True
pair,BB+PULLBACK,h4_bb_width GE DQ65(0.19233492) & causal_dd_high_8h LE DQ60(-1.462766),45,63,0.8766522516734301,0.9352324947633205,0.41850995496272736,0.15769551664409245,5.806451612903217,4.968944099378881,5.161290322580641,4.968944099378888,1.1802928874678067,True
pair,BB+PULLBACK,h1_bb_width GE DQ65(0.078816463) & causal_dd_high_12h LE DQ60(-1.6097588),43,48,1.0087380538548243,1.5940029192747462,0.47218416509726,1.3814753681072243,-0.7051762940735316,33.2427536231884,0.9752438109527333,33.242753623188406,1.172352099035714,True
pair,BB+PULLBACK,h4_bb_width GE DQ65(0.19233492) & causal_dd_high_4h LE DQ60(-1.3174799),44,63,0.9206811461745974,1.0000326960119712,0.4213092234323288,0.20345042944197753,4.897360703812311,3.381642512077299,4.252199413489727,3.381642512077299,1.1609709220831546,True
pair,BB+PULLBACK,h4_bb_width GE DQ65(0.19233492) & causal_dd_high_48h LE DQ60(-3.1058166),49,64,0.8577661533686363,1.278158645792005,0.4674252246775734,0.6112400693675537,4.990125082290973,2.513586956521742,4.3449637919683965,2.513586956521742,1.1470443298318742,True
pair,BB+PULLBACK,h1_bb_width GE DQ50(0.063900884) & causal_dd_high_12h LE DQ60(-1.6097588),60,52,0.8126638962175088,1.5718700795875447,0.7381693091971511,1.3606363141638835,0.8064516129032242,32.441471571906355,1.8279569892473049,32.441471571906355,1.1317758426085545,True
pair,BB+PULLBACK,h1_bb_width GE DQ65(0.078816463) & causal_dd_high_48h LE DQ60(-3.1058166),43,44,0.7453689514799033,2.5371221620523814,0.019784663497076638,2.3371032529732245,6.271567891972978,29.64426877470357,7.951987996999243,29.64426877470356,1.0994803804030542,True
pair,BB+PULLBACK,h1_bb_width GE DQ35(0.049590362) & causal_dd_high_8h LE DQ60(-1.462766),75,61,0.7942245039332789,0.8947997698131783,0.703798464637071,0.7481567952554614,0.4731182795698814,21.59657875980043,1.1612903225806406,21.59657875980043,1.0779733213949632,True
pair,BB+PULLBACK,h1_bb_width GE DQ65(0.078816463) & causal_dd_high_1h LE DQ60(-0.19034576),42,41,0.8774095447099235,2.44311862247059,0.16643226767658859,2.015906662423706,2.949308755760356,25.87486744432662,2.3041474654377865,25.87486744432662,1.070223050378296,True
pair,BB+PULLBACK,h4_bb_width GE DQ65(0.19233492) & causal_dd_high_12h LE DQ60(-1.6097588),45,64,0.8392565342545684,1.0620863200667383,0.3916514855564013,0.165573219128657,3.5842293906809886,5.638586956521742,2.939068100358419,5.638586956521742,1.0635154046771964,True
pair,BB+PULLBACK,h1_bb_width GE DQ35(0.049590362) & causal_dd_high_48h LE DQ25(-7.3594696),38,49,0.6921434661134946,1.8895568567084378,-0.1916747457774972,1.8462254423660431,8.96434634974532,25.37710736468501,8.31918505942275,25.377107364685006,1.060371396772185,True
pair,BB+PULLBACK,h1_bb_width GE DQ50(0.063900884) & causal_dd_high_24h LE DQ60(-2.3674833),60,53,0.7749065016174081,1.8021969859198061,0.5217716238902945,1.65037969802907,0.8064516129032242,28.958162428219858,1.8279569892473049,28.958162428219854,1.018279258151054,True
pair,BB+PULLBACK,m15_bb_width GE DQ50(0.027786062) & causal_dd_high_48h LE DQ40(-4.8205039),43,63,0.6387451061264633,1.7032410735676504,0.19474807524783389,0.7962271227342597,6.271567891972978,11.318150448585229,5.626406601650409,11.318150448585236,1.0075821012554027,True
pair,BB+PULLBACK,h1_bb_width GE DQ50(0.063900884) & causal_dd_high_4h LE DQ50(-1.578354),49,47,0.7871707681004789,1.5441176111176245,0.6968075751834557,1.452240517333955,-1.1323238973008642,32.932469935245145,0.2633311389071693,32.932469935245145,1.0023503252738057,True
pair,BB+PULLBACK,m15_bb_width GE DQ35(0.022095776) & causal_dd_high_48h LE DQ40(-4.8205039),52,70,0.4764160238161681,1.3118613664136691,0.17149944591144606,0.8000569565214519,9.267990074441677,7.826086956521742,8.622828784119108,7.826086956521742,0.9277451777112613,True
pair,BB+PULLBACK,h4_bb_width GE DQ50(0.15432778) & causal_dd_high_2h LE DQ40(-1.3146106),47,57,0.8306775929246211,0.8839923410841747,0.6295880687818862,-0.16237803990291358,3.253260123541523,3.9664378337147213,2.608098833218939,3.9664378337147284,0.9236050593292259,True
pair,BB+PULLBACK,h4_bb_width GE DQ65(0.19233492) & causal_dd_high_48h LE DQ40(-4.8205039),41,59,0.7542337190415096,1.5651676300965476,0.20588227187908403,0.8502612387387734,1.9040125885129768,7.148120854826821,1.2588512981903932,7.148120854826821,0.9085899178183863,True
pair,BB+PULLBACK,h1_bb_width GE DQ50(0.063900884) & causal_dd_high_1h LE DQ60(-0.19034576),53,46,0.5856075300753201,2.3737839051654963,0.4848809564682921,2.0171104391187047,2.4102251978088773,26.086956521739133,1.7650639074863008,26.086956521739133,0.8629238989232146,True
pair,BB+PULLBACK,h4_bb_width GE DQ65(0.19233492) & causal_dd_high_24h LE DQ60(-2.3674833),45,66,0.5827340271438461,1.1101697506056976,0.30896801421180187,0.4461121750078273,3.5842293906809886,3.886693017127797,2.939068100358419,3.8866930171278042,0.8571810758455749,True
pair,BB+PULLBACK,h1_bb_width GE DQ35(0.049590362) & causal_dd_high_4h LE DQ60(-1.3174799),72,61,0.6770252739713203,0.9617245678240801,0.5833364707943014,0.795411869128687,-1.4157706093190043,19.957234497505347,-0.672043010752688,19.95723449750535,0.8252790602547019,True
pair,BB+PULLBACK,m15_bb_width GE DQ35(0.022095776) & causal_dd_high_8h LE DQ60(-1.462766),81,83,0.8403515260465713,0.750782942536934,0.49926719689446264,-0.02376489654641392,1.3620071684587742,5.6574122577265555,1.9514137793707675,5.6574122577265555,0.8223537193868677,True
pair,BB+PULLBACK,m15_bb_width GE DQ35(0.022095776) & causal_dd_high_4h LE DQ60(-1.3174799),83,83,0.7283742959783068,0.7999686374606086,0.48385000413061174,0.010964736059209612,1.2281383598911688,4.452592980618135,1.7877963466770268,4.452592980618128,0.8048120313293059,True
pair,BB+PULLBACK,h4_bb_width GE DQ65(0.19233492) & causal_dd_high_4h LE DQ50(-1.578354),42,58,0.6230620533031401,1.3681209781385468,0.11142405371270625,0.2544228527196355,2.949308755760356,6.446776611694148,2.3041474654377865,6.446776611694155,0.7966226840841537,True
pair,BB+PULLBACK,h1_bb_width GE DQ50(0.063900884) & causal_dd_high_48h LE DQ40(-4.8205039),47,47,0.4477082287300842,2.179502343633994,0.19810033514174585,2.068061318869377,5.380919698009599,26.549491211840895,4.73575840768703,26.54949121184089,0.7731861051237239,True
pair,BB+PULLBACK,h4_bb_width GE DQ50(0.15432778) & causal_dd_high_48h LE DQ25(-7.3594696),32,53,0.4623483932007524,2.2390354592040227,-0.2623528304790337,1.686555962562866,8.306451612903217,21.4109926168991,7.661290322580641,21.4109926168991,0.7729442573718,False
pair,BB+PULLBACK,h1_bb_width GE DQ50(0.063900884) & causal_dd_high_48h LE DQ25(-7.3594696),33,46,0.5042083434436035,2.243640262236308,-0.13610207312496336,2.153133272377396,6.412512218963826,28.260869565217398,5.76735092864125,28.260869565217394,0.7642950029916061,True
pair,BB+PULLBACK,h4_bb_width GE DQ50(0.15432778) & causal_dd_high_48h LE DQ60(-3.1058166),62,75,0.5306266459515707,0.9411822664173964,0.37829342523146225,0.49909127649110885,2.258064516129032,3.826086956521749,1.6129032258064484,3.826086956521742,0.7630293447825824,True
pair,BB+PULLBACK,h1_bb_width GE DQ35(0.049590362) & causal_dd_high_12h LE DQ60(-1.6097588),73,63,0.516832017219147,0.9927785954457015,0.5459554374523619,0.7056035867485223,0.6009721608484213,20.841959972394754,1.3256738842244786,20.841959972394758,0.7524590628374157,True
