name,q,threshold,disc_n,cal_n,disc_win,cal_win,disc_mean,cal_mean,disc_pf,cal_pf
NON_R2_TRAJECTORY_Q500,0.5,-0.12865863431309077,286,209,54.54545454545454,37.79904306220095,0.8122232512190355,-0.26720418305097665,1.5469758497383281,0.8779080881519951
NON_R2_TRAJECTORY_Q600,0.6,-0.08312745197270928,229,178,58.951965065502186,39.325842696629216,1.2464173130640699,-0.2927187865919041,1.9422423827894162,0.8657217900513808
NON_R2_TRAJECTORY_Q700,0.7,-0.027655422894231927,172,151,62.2093023255814,41.05960264900662,1.4343543198989175,-0.005738213871393252,2.09619698445792,0.9972317098306499
NON_R2_TRAJECTORY_Q750,0.75,0.021082938697832065,143,128,64.33566433566433,39.84375,1.752024506387543,0.21645320903154563,2.390995359203505,1.1134578550003726
NON_R2_TRAJECTORY_Q800,0.8,0.05787884574882935,115,102,61.73913043478261,40.19607843137255,1.4551459924456227,0.2917698930518299,2.1302658210740986,1.1662263952428877
NON_R2_TRAJECTORY_Q850,0.85,0.12980123643107463,86,78,65.11627906976744,46.15384615384615,1.8801189503845805,1.0562349939754547,2.5313368400899807,1.7530955160854356
NON_R2_TRAJECTORY_Q900,0.9,0.19405411497428024,58,55,65.51724137931035,49.09090909090909,2.3480797966655502,1.0722553140126714,3.2217940527135047,1.7681864812375006
NON_R2_TRAJECTORY_Q925,0.925,0.2350495255673502,43,41,67.44186046511628,56.09756097560976,2.5487481481932606,1.059295686223039,3.6981783720631936,1.752640732613371
NON_R2_TRAJECTORY_Q950,0.95,0.28907287386930486,29,27,75.86206896551724,51.85185185185185,3.469430729683688,0.7440354200595747,9.373399111105043,1.5368712705673198
