winner_proto,loser_proto,scale
0.0,0.0,1.0
0.530645132963111,0.12967367280663744,0.8163474025047877
1.0210944497892402,-0.5638705029086495,0.9811965489860708
1.421024701170312,0.18223239667219704,1.3568700533585623
0.6756398056207207,0.30231074632636457,1.6507364179957533
-0.008380122369405996,-1.747974588004022,2.0575283646258384
0.6945225973204314,-2.5867493098740697,2.474095276649032
-2.6890002464816867,0.364133310857339,2.7792893542619046
-1.337786923386287,3.3408101100443304,4.531408537562692
-6.866083439915178,0.4315932465568828,5.860157112185855
-3.155409144481353,0.04558924172872936,7.326104488216394
5.30227060042089,-1.747974588004022,8.010096245802497
9.6877423726805,-7.675924515118368,9.513184155860781
