feature,disc_effect,cal_effect,cross_effect,final_effect,min_abs_effect
pre_dd_from_high_8h,-0.8383735392646204,-0.7549934222568448,-0.7864420116103131,-0.7582771954473987,0.7549934222568448
pre_dd_from_high_12h,-0.8500620053918712,-0.7803315045353929,-0.7989126742061784,-0.7473585146804311,0.7473585146804311
h1_bb_width,0.9074959534570435,0.8711481139515314,0.861858532490144,0.7335232988505034,0.7335232988505034
pre_dd_from_high_4h,-0.8183643296294508,-0.7268675625139197,-0.7712418072688813,-0.7590532004746384,0.7268675625139197
pre_dd_from_high_24h,-0.8391977069684589,-0.8053878604046879,-0.7955769901698851,-0.7158350990382277,0.7158350990382277
pre_dd_from_high_2h,-0.7729960013829499,-0.6880054757694021,-0.7252064873022619,-0.7257738816558418,0.6880054757694021
pre_dd_from_high_48h,-0.8234200167365892,-0.8022325133327812,-0.7872796430503913,-0.6819741672679354,0.6819741672679354
pre_dd_from_high_1h,-0.7137375064316243,-0.6474128164675949,-0.690685086124335,-0.6678327613355173,0.6474128164675949
m15_bb_width,0.7948093529882709,0.6164043000783445,0.6981011269372465,0.7018768873623558,0.6164043000783445
h4_bb_width,0.9148671534788336,0.8846259700055465,0.8882062086162938,0.6108329139295765,0.6108329139295765
btc1_atr_pct,0.9575329842309358,0.580572586674044,0.8033350516283944,0.6353053407618681,0.580572586674044
btc4_atr_pct,1.0197137199975455,0.4885418523453525,0.8285393289320008,0.6508058187328924,0.4885418523453525
btc4_adx,0.5392437695426081,0.49379313419074966,0.45517506281022824,0.5291103219261476,0.45517506281022824
btc4_bb_width,0.6928266486955298,0.4409476163658714,0.630468295140015,0.4999329908315262,0.4409476163658714
btc1_bb_width,0.6193956666237448,0.4199680417374253,0.5540239925696283,0.4243517691005282,0.4199680417374253
h4_adx,0.37937053012935723,0.6374189856845784,0.41611207552207047,0.4352394397636618,0.37937053012935723
h1_stoch_raw,-0.3600616012188489,-0.3926467990422673,-0.3827411228109448,-0.429123096845506,0.3600616012188489
h4_mfi,0.45777241351176845,0.3573276650886617,0.43992839635517694,0.4889742964109044,0.3573276650886617
pre_ret_1h,-0.3283251932817715,-0.33552033399235426,-0.32849810723775846,-0.34864708588536697,0.3283251932817715
h1_tsi_d1,-0.326272414262037,-0.3513860614041157,-0.34675669620288785,-0.34777286924451123,0.326272414262037
h1_motion_neg,0.320337013369173,0.3488042891898629,0.34577892848494385,0.36927911953457504,0.320337013369173
h1_rsi_d3,-0.31845919929297056,-0.3203994908856001,-0.3389035129585915,-0.33763770571185453,0.31845919929297056
h1_motion_net,-0.31718517308711436,-0.35303960591481326,-0.34429414160463917,-0.36545411357692437,0.31718517308711436
m15_tsi_d3,-0.32078177840102473,-0.31515531724879414,-0.33275426064321356,-0.33689979791836266,0.31515531724879414
h1_rsi_d1,-0.30971300136357893,-0.3173700078169334,-0.3195718883587302,-0.32152049665325716,0.30971300136357893
h4_chop14,-0.44904565215681913,-0.4469106917505125,-0.42806798572866345,-0.30951824535711714,0.30951824535711714
m15_stoch_k,-0.30917128219916545,-0.3291138980999997,-0.32382040055352346,-0.33592689642437873,0.30917128219916545
m15_bb_pctb,-0.3085476874129963,-0.40795162581789174,-0.34492867860246224,-0.3564445513389738,0.3085476874129963
m15_stoch_raw,-0.304695539160687,-0.3637492236441233,-0.3372417126635392,-0.3438203284727524,0.304695539160687
m15_tsi_d1,-0.3040461805471493,-0.3365275743480979,-0.3286463743153779,-0.32937407322698287,0.3040461805471493
m15_wpr,-0.3032327785209002,-0.40561438380474746,-0.3442817109010821,-0.3615330460308288,0.3032327785209002
pre_ret_2h,-0.3027297815472831,-0.3254900085533977,-0.3206647116227662,-0.3333479037783616,0.3027297815472831
m15_donch_pos,-0.2970516485554595,-0.40121179588351663,-0.34289676142284775,-0.3668696313310127,0.2970516485554595
m15_kdj_k,-0.2915561049396623,-0.37877039867743123,-0.3235297280033698,-0.3482756237978076,0.2915561049396623
h1_ppo_hist_d1,-0.28754861489121364,-0.29510185005127576,-0.30941316558767284,-0.31275914914347025,0.28754861489121364
m15_kdj_j,-0.2870161165165808,-0.3643405086106518,-0.31623045982776504,-0.3410027508543131,0.2870161165165808
m15_vwap_dist_d3,-0.293712079996495,-0.29722308692139787,-0.2989195367290145,-0.2868034464803971,0.2868034464803971
h1_donch_pos_d3,-0.2903021803586939,-0.2848458652700214,-0.31085055624549507,-0.30481391440396954,0.2848458652700214
h1_vwap_dist_d3,-0.28479553487222997,-0.2832236014131118,-0.29565416557878593,-0.28747602070601586,0.2832236014131118
h1_motion_pos,-0.2827163119440675,-0.3229181651001239,-0.3084357438576335,-0.3256550192690711,0.2827163119440675
h1_bb_pctb_d3,-0.2905782354327123,-0.2809813415392215,-0.3105871863073922,-0.308157943047209,0.2809813415392215
h1_chop14,-0.4383274335315354,-0.43253323707587693,-0.42401079386911683,-0.2808175380401944,0.2808175380401944
h1_vwap_dist_d1,-0.28776346576784784,-0.2772226590206373,-0.2882509683975727,-0.29780803987632004,0.2772226590206373
m15_di_spread_d3,-0.276814541838484,-0.27908512220444737,-0.28818425484165133,-0.29280178476169233,0.276814541838484
h1_bb_pctb_d1,-0.27017592492054027,-0.27159429609234936,-0.2811159037406983,-0.2788531944606075,0.27017592492054027
m15_roc4,-0.2696965557611436,-0.2746854137278533,-0.2770265388033199,-0.2904008241135861,0.2696965557611436
m15_rsi_d3,-0.2687596036722266,-0.29797641494738514,-0.2896966768159997,-0.2843043426719126,0.2687596036722266
h1_di_spread_d1,-0.2674351696502445,-0.26733768848719675,-0.27433174942165706,-0.2703618599231766,0.26733768848719675
m15_stoch_d,-0.26646424185001666,-0.2801830160966547,-0.2797061218976637,-0.2873431275898701,0.26646424185001666
h1_er10,0.31584709758587654,0.28356349989514673,0.33879753516879785,0.26628563110500947,0.26628563110500947
h1_kdj_j_d1,-0.26699772730944227,-0.2654860706591898,-0.2804178041253483,-0.28737836036774006,0.2654860706591898
h1_kdj_spread,-0.265380708133218,-0.2832290357352236,-0.30890937264518986,-0.2954515270244757,0.265380708133218
h1_stoch_k,-0.2646026651490992,-0.2998223652451978,-0.2823684427996102,-0.32825911717520995,0.2646026651490992
m15_er10,0.2982506669350154,0.2998897616819174,0.3130466266407432,0.26379304271853377,0.26379304271853377
btc1_tsi_d1,-0.26841100770613796,-0.26072806417354977,-0.2604628577228435,-0.29760319182273953,0.2604628577228435
pre_ret_4h,-0.2590429328541778,-0.30311973526842845,-0.28464182706037067,-0.2820492019223942,0.2590429328541778
h1_cmo_d3,-0.2583581541572545,-0.25754885976322406,-0.2812714780112642,-0.2709243199888916,0.25754885976322406
h1_wpr_d3,-0.26733350474984197,-0.25754569572124875,-0.2917914336386957,-0.2821331067913018,0.25754569572124875
h1_di_spread_d3,-0.25490816469571964,-0.2599581745783379,-0.27631833819752677,-0.26585089490296876,0.25490816469571964
m15_ppo_hist,-0.25580318761546605,-0.25383547292666525,-0.26976223648498854,-0.27801088261459334,0.25383547292666525
m15_cmo,-0.25357410960731985,-0.3333367934364436,-0.2946802092209565,-0.29008886870025935,0.25357410960731985
m15_kdj_d,-0.2497490054499582,-0.3337484347471427,-0.2800555691483082,-0.29877979278964867,0.2497490054499582
