candidate,split,n,mean_ret_3h,median_ret_3h,win_3h,mean_ret_6h,median_ret_6h,win_6h,mean_ret_12h,median_ret_12h,win_12h,mean_ret_24h,median_ret_24h,win_24h,mean_mfe_12h,mean_mae_12h,mfe_gt_1_12h,ret_gt_1_12h,mean_ret_12h_ci_low,mean_ret_12h_ci_high
CTX2+trig4,train_2024_2025,1674,-0.021910731431602968,-0.017204586076302597,48.0884109916368,0.0029025063351978356,-0.010821624118984019,49.34289127837515,0.001286106635401848,0.0067116567478153755,50.358422939068106,0.01200585236443262,-0.01018013455884037,49.70131421744325,1.2822258709420395,-1.3333851063131934,45.57945041816009,22.102747909199522,-0.08816625574023407,0.08406709638216289
CTX2+trig4,holdout_2026,601,-0.047829743891708854,-0.06649415708773754,42.26289517470882,-0.0461642236000631,-0.04028707472730764,47.42096505823628,-0.03427573071603311,0.0074534854528574,50.582362728785355,0.015751378903066878,0.028522220522253505,50.74875207986689,1.0993661044102119,-1.1878042117307863,39.60066555740433,18.63560732113145,-0.15367799124290693,0.08867242638876595
CTX2+trig4+H1recent2h,train_2024_2025,1038,-0.02459392302133762,-0.018716381126476778,48.26589595375722,-0.0170164986286835,-0.0006082568063614513,50.0,-0.0026316532057312878,0.025372665692302565,51.34874759152216,-0.022186136534113318,0.007759540390972486,50.09633911368015,1.2641057824877875,-1.301521485761138,46.4354527938343,22.639691714836225,-0.10599271021786884,0.0995039115864705
CTX2+trig4+H1recent2h,holdout_2026,356,-0.01967893480572796,-0.055621304609582145,45.2247191011236,-0.053489282130603374,-0.09340670004270857,44.10112359550562,-0.023301831291961336,-0.06956632467124413,48.59550561797753,-0.0657157001164317,-0.00944504812714353,49.43820224719101,1.0894522046505322,-1.1204896859136997,38.48314606741573,16.01123595505618,-0.1793462665621039,0.12677507765785762
CTX2+trig4+H1recent4h,train_2024_2025,1436,-0.0326899510698313,-0.020212251297019312,47.56267409470752,0.0027485720667710187,-0.01273795498166197,49.16434540389972,-0.0033679366179889553,0.004802521433000528,50.27855153203342,0.039701839739742895,0.011596673906821842,50.13927576601671,1.2858067256576395,-1.3341586298528076,46.58774373259053,21.935933147632312,-0.09235851060331239,0.09141885510341113
CTX2+trig4+H1recent4h,holdout_2026,508,-0.033440801626127406,-0.06436468693415964,43.110236220472444,-0.04190517193065656,-0.05004353788923277,47.63779527559055,-0.002875906446971564,0.009195844517484453,50.59055118110236,0.0009840962042605686,0.01141399046488134,50.196850393700785,1.1140711635410374,-1.1524340631302117,40.55118110236221,17.322834645669293,-0.13291746324521028,0.131805839627081
H4turn16h+H1turn4h+trig4,train_2024_2025,1853,0.00686355403625559,-0.008220863899077724,49.05558553696708,0.032551801506061295,0.00935907350425591,50.29681597409606,0.0667909363664546,0.028350864439818935,51.160280626011875,0.1026943358666221,0.08503679476696835,52.40151106314085,1.2803032471446274,-1.2605380727830278,45.223961144090666,21.80248246087426,-0.0015593939872870055,0.15331885270906598
H4turn16h+H1turn4h+trig4,holdout_2026,649,-0.015588426648141711,-0.03883486160908278,46.22496147919877,0.028481803182797916,-0.03093253228971804,48.536209553158706,0.05886481511663595,0.020902860563487557,51.00154083204931,0.16027535360401862,0.10592550008763357,53.77503852080123,1.126033591925198,-1.095688773079062,41.44838212634823,18.489984591679505,-0.06202403698473312,0.16061629994453114
CTX2+trig4s,train_2024_2025,1648,-0.023321805386698577,-0.016977377087895595,48.05825242718447,0.004786897670019973,-0.004394219618092388,49.63592233009709,-0.0002494105110869894,0.016569901989527125,50.54611650485437,-0.005293662264827307,-0.03181267701865553,49.08980582524271,1.2774890572587014,-1.3305456774946187,45.44902912621359,22.451456310679614,-0.08684901150147259,0.08414770741841163
CTX2+trig4s,holdout_2026,588,-0.04354285710879027,-0.06576848034026694,42.857142857142854,-0.02997957090087119,-0.05090449544756237,46.59863945578231,-0.025496786732889076,0.008875685863518612,50.85034013605442,0.030095657720895088,0.04143961455338463,51.19047619047619,1.1099356315195934,-1.1863291558076503,40.30612244897959,18.367346938775512,-0.14470374763820387,0.09279463922385425
