time,open,high,low,close,motion_pos,motion_net,structure,h1_motion_pos,h4_motion_pos,ret_3h,mfe_3h,mae_3h,ret_6h,mfe_6h,mae_6h,ret_12h,mfe_12h,mae_12h,ret_24h,mfe_24h,mae_24h
2024-01-01 15:00:00+00:00,42612.24,42650.0,42586.51,42649.99,5,5,True,0.0,6.0,1.0648771547191682,1.1207740025261481,-0.11463074200017687,2.5195082109046307,2.766706393131635,-0.11463074200017687,6.097211277189052,6.6106463330940946,-0.11463074200017687,5.746003691911783,7.572428504672568,-0.11463074200017687
2024-01-01 19:30:00+00:00,43262.01,43409.3,43234.16,43395.09,6,6,True,4.0,6.0,0.11976009267409271,1.002187113795605,-0.07717462966432276,3.252787354514086,4.557428040822131,-0.07717462966432276,4.911454268213289,5.1818304789781555,-0.07717462966432276,3.6033339255662433,5.725394278477136,-0.07717462966432276
2024-01-04 05:30:00+00:00,43088.04,43273.08,43072.7,43234.84,5,5,True,4.0,4.0,-1.026325065618372,0.061987045632649895,-1.2374510926835725,-0.1869788346620327,0.061987045632649895,-1.4306980203928066,1.3772457582819975,2.5330266053950945,-1.4306980203928066,0.9417173742287455,3.4572580816767395,-1.8152952572508596
2024-01-04 12:45:00+00:00,43267.1,43383.89,43267.1,43378.12,5,5,True,6.0,6.0,1.551427309436182,2.194355126501546,-0.4860745463381222,1.5464939467178196,2.194355126501546,-0.4860745463381222,1.9202768584714924,3.1155338221204643,-0.4860745463381222,1.1627982033338258,3.1155338221204643,-2.1396040215666434
2024-01-04 17:00:00+00:00,43915.7,44155.0,43841.56,44155.0,5,5,True,1.0,6.0,-0.38503000792662334,0.6397916430755268,-0.7412750537877932,0.17234741252405428,1.3012795832861634,-0.7412750537877932,-1.3483863662099416,1.3012795832861634,-3.861397350243456,-1.8914958668327486,1.3012795832861634,-3.861397350243456
2024-01-11 00:45:00+00:00,46600.01,46721.37,46541.1,46670.01,5,4,True,2.0,6.0,-0.3596528048740444,0.17139486363941803,-1.0070921347563488,-1.634261488266231,0.17139486363941803,-2.25393137905906,1.6704946067078064,1.7031494100815614,-2.25393137905906,-0.8068993342834063,4.9270827240019965,-2.279729530805763
2024-01-11 12:15:00+00:00,47016.52,47152.0,46941.1,47146.99,5,4,True,6.0,5.0,1.3768641433949513,3.8655489989923186,-0.8147497857233232,-1.4737314089404263,3.8655489989923186,-3.2683528683379426,-1.8600975375098083,3.8655489989923186,-3.2683528683379426,-2.402592403035697,3.8655489989923186,-3.414046156499062
2024-01-14 17:00:00+00:00,42929.94,42973.99,42877.77,42938.34,5,5,True,4.0,5.0,-0.6342583341600871,0.1688467695770246,-1.7575434914344545,-2.101525117179648,0.1688467695770246,-2.3856068958417964,-0.34291032210373995,0.1688467695770246,-2.8419589578916993,-0.5848852098148116,0.1688467695770246,-2.8419589578916993
2024-01-15 05:00:00+00:00,42591.76,42824.68,42569.73,42791.1,5,5,True,5.0,5.0,-0.26935507617238397,0.013928129914853038,-0.6495743273718158,-0.40450000116846185,0.013928129914853038,-0.6495743273718158,-0.2428074996903562,0.3901044843437118,-1.4670807714688316,0.11731411438360428,1.4239643290310466,-1.4670807714688316
2024-01-17 20:15:00+00:00,42665.81,42731.46,42626.17,42699.76,5,5,True,3.0,4.0,0.024004818762457525,0.41386649479997484,-0.5849213204008663,-0.022833851993542265,0.41386649479997484,-0.5849213204008663,0.38463916424822386,0.5392067777430176,-0.5849213204008663,-4.294614302281796,0.5392067777430176,-4.374193203896237
2024-01-19 09:00:00+00:00,41290.0,41411.1,41289.99,41394.19,6,6,True,4.0,5.0,-0.06558891477282947,0.2790246650556494,-0.35292392483100565,-1.118731880005397,0.2790246650556494,-1.3361536969318744,0.6123806263632625,1.9390885532486468,-2.691657935570191,0.37560826773030964,1.9390885532486468,-2.691657935570191
2024-01-19 20:00:00+00:00,41814.27,42196.86,41773.5,42162.85,6,6,True,6.0,6.0,-1.1688963151210041,2.3717561781211316e-05,-1.5303756743199282,-1.3749070568047417,2.3717561781211316e-05,-1.6757643280755352,-1.23746378624785,2.3717561781211316e-05,-1.6757643280755352,-1.115318343043703,2.3717561781211316e-05,-1.6757643280755352
2024-01-20 20:00:00+00:00,41632.97,41692.6,41617.58,41692.6,5,5,True,6.0,4.0,0.15182550380643534,0.4316353501580661,-0.05444611273942579,-0.04684284501326186,0.4316353501580661,-0.19682149829944873,0.009498088389792159,0.4316353501580661,-0.3077524548720789,0.09886646551187095,0.4528141684615461,-0.40198980154750874
2024-01-21 15:00:00+00:00,41787.49,41860.0,41787.49,41825.04,5,5,True,1.0,4.0,-0.40655071698676437,0.02142257365445044,-0.7173693079552401,-0.3317868912976585,0.02142257365445044,-0.7173693079552401,-1.3648522511873207,0.02142257365445044,-1.487625594619879,-2.8841096147188328,0.02142257365445044,-3.491712141817449
