name,feature,family,side,q,threshold,disc_n,cal_n,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score
btc4_bb_width GE Q80(0.0942267),btc4_bb_width,bb_,GE,0.8,0.0942266561052044,478,347,0.36210950003639336,1.0572427797084858,2.031819750733313,2.0803296099598105,4.832954569589873,8.112361722823358,3.9777272759453197,7.588101668086445,2.6184724333763088
btc1_atr_pct GE Q70(0.804549),btc1_atr_pct,atr,GE,0.7,0.8045490665008952,710,535,0.5526778402666142,0.5069159830018719,2.532723952288888,1.4793256686488383,-0.07363980839350859,1.8940418111640085,-1.3431519744524607,1.1672446560473446,1.9571694179098558
btc1_roc12_d1 LE Q20(-0.733136),btc1_roc12_d1,roc,LE,0.2,-0.7331359632863688,480,288,0.21725718704632307,0.5383274938959384,2.3129410899362353,1.8608998264443857,-2.0219966159052447,-2.823637316561843,-3.505710659898476,-2.882599580712778,1.9233336807958838
btc1_roc4_d1 LE Q20(-0.766142),btc1_roc4_d1,roc,LE,0.2,-0.7661416837326261,473,350,0.5659477145792008,0.5312261167593906,2.0123556257331066,1.1466871795048705,3.6193000719030692,4.8846960167714855,2.77291865652154,4.355495657382448,1.841950671551784
h1_atr_pct_d1 GE Q80(0.0524861),h1_atr_pct_d1,atr,GE,0.8,0.052486088983823925,473,370,0.44338182340889276,0.8822013939118627,1.8368818114118928,1.352631178466857,-0.609029737822091,3.8036149356904048,-2.089660624662393,2.7029860048727983,1.735948897247839
btc1_atr_pct GE Q80(0.907279),btc1_atr_pct,atr,GE,0.8,0.9072793952002878,473,358,0.5076154749081212,0.7622121377527401,3.473738465425564,1.2284415640391435,-0.1861967568495757,5.946148530737965,-1.4554111532036131,5.124849208858905,1.7013629131777053
btc4_adx_d1 GE Q80(1.15404),btc4_adx_d1,adx,GE,0.8,1.1540367590649454,473,397,0.19239330606328464,0.12212936820524478,1.5114752040371875,1.6031995100777046,0.8708856955817197,2.1642929941014586,0.02450428020018336,1.315553232049595,1.6602212287138876
btc1_atr_pct GE Q60(0.732295),btc1_atr_pct,atr,GE,0.6,0.7322950045733048,946,638,0.5355416670812339,0.5555036391291764,1.9191901548882755,1.0877062466966934,1.0823021860679702,2.5022508757056556,0.02450428020018336,1.8718413806247298,1.6562070649639702
m15_roc12_acc GE Q80(1.37304),m15_roc12_acc,roc,GE,0.8,1.3730447879702634,473,480,0.2627391015627687,0.2256417651430972,1.3915262693241437,1.2718933672173651,1.5051351670404927,3.218029350104821,0.870170242145214,2.1174004192872076,1.5600925922145814
h1_atr_pct_acc GE Q80(0.0723118),h1_atr_pct_acc,atr,GE,0.8,0.07231184163778424,473,309,0.4327347135804199,0.8594413246592804,1.7755854009745424,1.1680513547434483,-0.1861967568495757,6.6322688323054635,-1.8782441341761356,5.531639901487864,1.5576352829348583
m15_ppo_hist_d3 LE Q20(-0.0662479),m15_ppo_hist_d3,ppo,LE,0.2,-0.06624787413797324,473,395,0.1448377737145901,0.6410680186580427,2.006282256211944,1.316519627327143,0.44805271460920437,3.3657086749993326,-1.032578172231105,2.265079744181733,1.4541474190353871
m15_ppo_hist_acc GE Q80(0.0753278),m15_ppo_hist_acc,ppo,GE,0.8,0.07532778410794577,473,430,0.3145359867613665,0.6057655832580506,1.7068305494663876,1.136568871320445,0.2366362241229396,3.2567890400273,-1.2439946627173626,2.1561601092096936,1.4333240515511523
h4_ppo_hist_d3 GE Q80(0.373358),h4_ppo_hist_d3,ppo,GE,0.8,0.3733576760505164,473,404,0.22738530480908797,0.758606772405872,1.0800511122706813,1.5616292345293274,2.7736341099580386,3.2510326504348512,1.9272526945765094,2.6454532245677385,1.4291904942700406
btc4_roc12 LE Q20(-2.18415),btc4_roc12,roc,LE,0.2,-2.1841476960541173,476,520,0.05003648233212025,0.08901514086984719,1.4560469668596552,1.5885599654648481,-1.2796996971377368,3.3462344783099525,-2.131410940010518,3.207144009030806,1.425064239477433
m15_atr_pct_d3 GE Q80(0.0315324),m15_atr_pct_d3,atr,GE,0.8,0.031532445295590524,473,342,0.4902952459483444,0.904497106055022,1.3656418273175763,0.9398670683985444,-0.1861967568495757,2.0191989407480975,-1.2439946627173626,1.2109676707491985,1.3996965183870542
h1_rvol20_d3 GE Q80(0.621147),h1_rvol20_d3,rvol,GE,0.8,0.621147240444033,473,303,0.658733497502557,0.7942946941542552,0.7774737026444093,0.7388513513052327,0.2366362241229396,4.15862340951076,-0.39832870077232485,3.7180604852938046,1.3967173615160315
btc1_roc4 LE Q20(-0.189272),btc1_roc4,roc,LE,0.2,-0.18927188614048512,473,401,0.7561146753489966,0.38834681478176786,1.2479895608588305,0.7552194197339803,5.3106319957931305,6.530581303554527,4.464250580411608,6.427458607150882,1.3921702059977743
btc1_di_spread_d1 LE Q20(-4.0504),btc1_di_spread_d1,di_spread,LE,0.2,-4.050395969184161,473,404,0.7085262440378901,-0.018810323887737068,2.166419946346042,1.367507095097046,0.6594692050954549,1.5183593831081197,-0.39832870077232485,0.4177304522905132,1.3605142733467261
btc1_ppo_hist_acc LE Q20(-0.0499027),btc1_ppo_hist_acc,ppo,LE,0.2,-0.0499027489409215,474,319,0.4740915755257833,0.74047855300625,2.9876874445994335,0.8962373817480825,-0.059971299449550486,1.5618120042323014,-1.541048212641087,1.401621944888042,1.3377088540375575
h4_chop14 LE Q20(41.1434),h4_chop14,chop,LE,0.2,41.14338678562681,473,444,0.17291699228256358,0.5863572039990155,1.2645706158748204,1.5488676248559006,-1.877528680739637,4.749560881636349,-2.301077115148658,4.54983285171965,1.335140205432222
btc1_bb_width GE Q80(0.0434586),btc1_bb_width,bb_,GE,0.8,0.0434586191517504,477,299,0.2981960387468711,0.6148232967346444,1.1637113601451117,1.6007370405894505,-2.2001936808947633,12.710782973293227,-3.0536666347412407,12.613498524080967,1.3348282557703153
