name,a,b,family_a,family_b,disc_n,cal_n,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score
btc1_bb_width_acc LE Q20(-0.00165171) & btc1_roc4_d1 LE Q20(-0.766142),btc1_bb_width_acc LE Q20(-0.00165171),btc1_roc4_d1 LE Q20(-0.766142),bb_,roc,155,129,0.7727450119781218,1.433319012724846,1.8639175684128069,1.523317554909541,9.967250695922708,5.969967334600945,8.920364608918732,6.419726000682559,2.603556106939343
btc1_vwap_dist_acc LE Q20(-0.820672) & h1_atr_pct_d1 GE Q80(0.0524861),btc1_vwap_dist_acc LE Q20(-0.820672),h1_atr_pct_d1 GE Q80(0.0524861),vwap,atr,201,155,0.3991127413349968,2.087013975297729,3.2826148899992633,2.327086893425122,-2.046872237795796,5.529857307094062,-3.7389196151223487,4.429228376276463,2.590015075323798
btc1_atr_pct GE Q70(0.804549) & btc1_roc4_acc LE Q20(-1.11272),btc1_atr_pct GE Q70(0.804549),btc1_roc4_acc LE Q20(-1.11272),atr,roc,272,249,1.364725881167864,0.9300004913785074,3.490896293865899,1.7003343537915345,-0.6494475962974064,6.651764289863856,-1.9738479148004302,6.354348210451867,2.5713744589851113
btc1_ppo_hist_acc LE Q20(-0.0499027) & btc4_adx_d1 GE Q80(1.15404),btc1_ppo_hist_acc LE Q20(-0.0499027),btc4_adx_d1 GE Q80(1.15404),ppo,adx,140,95,0.12538976994156348,3.0930103838336556,4.614312598998966,2.3889180027896026,1.7875271936185655,26.989959174666225,0.09547981629199853,26.94196182279599,2.569843184865563
btc1_tsi_d1 LE Q30(-0.211069) & h1_rvol20_d3 GE Q80(0.621147),btc1_tsi_d1 LE Q30(-0.211069),h1_rvol20_d3 GE Q80(0.621147),tsi,rvol,189,111,1.0025933118251802,1.9965010920179962,1.6478307250345319,2.2624562325784483,-1.2018907957994287,9.929741061816529,-2.3648376440254566,9.730013031899823,2.5670705601052197
btc1_ppo_hist_d1 LE Q20(-0.0309186) & btc1_roc4_d1 LE Q20(-0.766142),btc1_ppo_hist_d1 LE Q20(-0.0309186),btc1_roc4_d1 LE Q20(-0.766142),ppo,roc,223,174,0.4911944169283959,1.490155381089112,3.354202157015501,2.152402112800364,-0.8934465411668313,10.286994867346195,-2.585493918493391,9.76107858020675,2.5650832551238874
btc1_roc4 LE Q20(-0.189272) & m15_atr_pct_d3 GE Q80(0.0315324),btc1_roc4 LE Q20(-0.189272),m15_atr_pct_d3 GE Q80(0.0315324),roc,atr,181,127,0.4141354108911948,1.9749849204924002,3.1209048221933022,2.087171981877578,1.6336203270045146,19.21540467818881,0.4940591375232586,18.114775747371198,2.5601971853293732
btc1_tsi_d1 LE Q30(-0.211069) & btc4_adx_d1 GE Q80(1.15404),btc1_tsi_d1 LE Q30(-0.211069),btc4_adx_d1 GE Q80(1.15404),tsi,adx,169,129,0.6221830033108552,1.1724588419111686,4.678642247764186,1.786480113663265,3.4316522992821348,17.597874311345137,2.3313208982869327,16.497245380527524,2.558239103918323
btc1_roc4_d3 LE Q30(-0.481176) & m15_vwap_dist_acc GE Q80(1.17818),btc1_roc4_d3 LE Q30(-0.481176),m15_vwap_dist_acc GE Q80(1.17818),roc,vwap,173,151,0.789966053067176,1.47540517339573,4.497163984238654,1.6136337925138915,3.575305888911707,13.891318533327777,1.8832585115851472,12.790689602510163,2.548524192480122
btc1_di_spread_d1 LE Q30(-2.59029) & m15_roc12_acc GE Q80(1.37304),btc1_di_spread_d1 LE Q30(-2.59029),m15_roc12_acc GE Q80(1.37304),di_spread,roc,187,182,-0.023908417120697453,1.1871753535716854,3.547031489831328,2.7711816878758952,-3.9916935856022135,8.291289423364894,-4.079462888062473,7.190660492547288,2.545933205425882
