feature,winner_median,loser_median,iqr,separation
btc4_rvol20,0.6443391801445495,1.0786205757012832,0.005424019852565021,80.0663359208322
btc1_di_spread,-6.757648328311717,8.563893651845689,0.8832473079618435,17.346831223876542
btc4_cmf,0.0899236487284596,0.3127962881214373,0.018804969030341956,11.851795077852616
btc1_adx,28.335506247959373,21.03281878679683,1.1000589031348298,6.638451305063871
btc4_donch_pos,0.5303737928296389,0.9501459245758292,0.09289053693838223,4.518997796563937
btc4_chop14_d3,4.566799558558877,1.1279747425889326,0.761579050306123,4.515387883355878
btc4_er10_acc,-0.0138903332696019,0.3697447484158435,0.0875528609429734,4.3817538062556505
btc4_rvol20_d3,-0.7011194612773306,-0.1483088070042613,0.12711652999767487,4.348849471293631
h1_atr_pct_d3,-0.07614995880423175,0.3665562369807889,0.11175150957090985,3.961523181967485
btc4_adx_acc,0.0555358829081669,0.1967117821985553,0.0361216710017871,3.908343533813921
btc4_er10,0.213546186156263,0.4619749216300977,0.07170385639333984,3.4646495735326974
btc1_mfi_d1,-0.8511124142945263,-1.6066404323791377,0.22855598111896214,3.305658484130254
btc4_chop14_acc,-1.6348591386269575,0.8707003239088564,0.7586469597887149,3.302668560398131
btc4_adx,53.85428855864676,54.77442861861542,0.28128288119215483,3.271226660040066
h4_bb_width_d1,-0.00951593545470425,-0.0365990486082911,0.0083938461360211,3.22654391261274
btc1_chop14,46.47717852939663,44.49137655881042,0.6289986215574359,3.15708477336445
btc4_er10_d1,-0.114843350373774,0.1084921869274543,0.07351131372458809,3.0381110877430415
h1_donch_pos_d3,-0.12962125076110795,-0.3968470931292127,0.09120103691420409,2.930074606711908
h1_cmo_d1,2.7409256078963757,-27.826918166521505,10.874881828206163,2.8108667530652256
h4_bb_width_d3,-0.014320727104346901,-0.0901034857787152,0.030174459579314302,2.5114868577901612
btc4_chop14,41.380670260216405,36.68904004844269,1.869762085662785,2.509212400737415
btc4_bb_pctb,0.3650702669643028,0.7943011134865245,0.17642215003069794,2.432975941215626
btc4_cmo,-27.343649964030693,54.37221183734292,34.004532614892014,2.4030873391739194
btc1_er10,0.0560307882682162,0.4328575750075626,0.1614443637863734,2.334096885772808
m15_ppo_hist_acc,0.0478458374616205,0.0898329317530373,0.0197666234827171,2.1241409453733016
btc1_tsi,3.4704281972194924,16.304955999001404,6.14634815579164,2.088155027418691
btc1_adx_acc,1.00251387820596,-0.8583852689830138,0.9025986539787176,2.0617127435167344
btc4_atr_pct_acc,-0.0817502515672803,0.0266582551989202,0.0537252453612407,2.0178317667472254
btc1_donch_pos_d3,-0.1403419415738344,-0.0575601219153549,0.041390909829239736,2.000000000000001
btc1_di_spread_d3,-4.0068660311560045,-3.263284922411259,0.37179055437237274,2.0
btc1_roc4_d3,-1.2670496672105402,-0.9396290958829212,0.16371028566380952,2.0
btc1_tsi_d1,-0.6830696493168942,-0.6351558319895432,0.023956908663675502,2.0
h4_roc12,-8.134822409155895,9.884814292430644,9.117056527194434,1.9764752634622165
btc4_cmo_d1,-0.8666468916076759,3.247891150892912,2.0833603798113822,1.974952620954181
m15_roc4_d1,1.2207658979470515,1.9318813779067636,0.3951308863756444,1.7996960108141644
btc1_rvol20_d3,0.5840707539240058,-0.5220804979635388,0.6205709862321914,1.7824733615143098
h4_vwap_dist,-14.184299264384059,20.403316852279406,19.504249108142368,1.7733374878925383
m15_ppo_hist_d1,0.01195043467676,0.0571962280686586,0.02558579867282275,1.7683948025417207
btc1_roc4,-0.9045665854206186,0.1720637006445091,0.611271291540455,1.7612969903296603
m15_er10_acc,-0.22751972392997905,0.0448909223867096,0.16041521007759907,1.6981597080782618
