name,n,symbols,h1_confirm_pct,net12_mean,net12_median,net12_win_pct,mfe12_mean,mae12_mean,excursion_edge_mean,upside_dominates_pct,mfe_ge_1_pct,mfe_ge_2_pct,model,quantile,threshold,selected_frac,score
WIN_LOGISTIC_q60,823,68,62.575941676792226,-0.20777381242733584,-0.2132485426603157,45.20048602673147,2.513722351444505,-2.5067650411997535,0.006957310244751202,46.29404617253949,63.91251518833536,44.22843256379101,WIN_LOGISTIC,0.6,0.5326604756242557,0.4453463203463203,-0.14498915144320107
WIN_LOGISTIC_q70,608,68,61.348684210526315,-0.2815633308029374,-0.22471367639031442,44.243421052631575,2.484786067170439,-2.5504774120602556,-0.06569134488981632,46.381578947368425,63.48684210526315,44.40789473684211,WIN_LOGISTIC,0.7,0.5973889868108248,0.329004329004329,-0.22218538693910556
WIN_LOGISTIC_q50,973,68,61.459403905447076,-0.3099770227228593,-0.2948766603415474,43.884892086330936,2.5116710427815576,-2.6742172308483223,-0.1625461880667649,44.91264131551901,63.92600205549846,43.67934224049332,WIN_LOGISTIC,0.5,0.47729577606860857,0.5265151515151515,-0.2533940044594152
CONFIRM_RF_q50,931,68,76.1546723952739,-0.3581204523381457,-0.3745200698080262,43.82384532760473,2.5874194475399395,-2.6974682128636376,-0.11004876532369792,46.18689581095596,65.73576799140709,45.64983888292159,CONFIRM_RF,0.5,0.5478730209616889,0.5037878787878788,-0.28526724290258276
DUAL_CONFIRM_WIN_q50,1077,68,72.98050139275766,-0.3636586770206832,-0.364473684210531,44.38254410399257,2.587348957261211,-2.7231917223312045,-0.13584276506999315,45.77530176415971,66.48096564531104,45.868152274837506,DUAL_CONFIRM_WIN,0.5,0.48611625939013237,0.5827922077922078,-0.29475345858002533
DOM_RF_q50,1010,68,57.02970297029702,-0.3650371233164961,-0.3661411911473676,44.257425742574256,2.6009992179538983,-2.875094858440138,-0.2740956404862397,45.84158415841584,67.82178217821783,46.73267326732674,DOM_RF,0.5,0.4875954207001364,0.5465367965367965,-0.3162302895607863
WIN_LOGISTIC_q80,380,68,63.421052631578945,-0.4065919409346307,-0.23448968519231267,43.42105263157895,2.4491451879039765,-2.6840793339627087,-0.23493414605873233,45.526315789473685,64.47368421052632,44.473684210526315,WIN_LOGISTIC,0.8,0.6700492336680163,0.20562770562770563,-0.35021891268481375
WIN_RF_q50,979,68,57.711950970377934,-0.4516174144539846,-0.4368421052631575,43.30949948927477,2.5591326322775285,-2.8864000618096273,-0.32726742953209814,44.330949948927476,66.08784473953013,45.35240040858019,WIN_RF,0.5,0.46118660723413835,0.5297619047619048,-0.4037234863695696
CONFIRM_RF_q60,676,68,79.28994082840237,-0.5031691409966726,-0.43538544684716385,43.19526627218935,2.5347976637873115,-2.82853083608106,-0.293733172293749,45.11834319526627,65.23668639053254,44.230769230769226,CONFIRM_RF,0.6,0.5926780602009231,0.3658008658008658,-0.4326911953370828
RET_RF_q50,1025,68,56.39024390243902,-0.49252744254120745,-0.3751313485113814,42.829268292682926,2.63344625094393,-2.97442849885419,-0.34098224791026027,44.78048780487805,67.41463414634147,45.951219512195124,RET_RF,0.5,-0.2328128061775679,0.5546536796536796,-0.4463666660760763
