feature,dir,effect_disc,effect_cal,stable_strength
h1_atr_pct_d3,-1,-3.961523181967485,-0.2855920350426014,0.2855920350426014
h1_bb_pctb_acc,1,0.27671284968605936,0.7845486250366956,0.27671284968605936
h4_rvol20_acc,-1,-0.29602590371886023,-0.2731110128246662,0.2731110128246662
btc4_cmf_d1,1,0.26599124142496644,0.9709851738444438,0.26599124142496644
h1_vwap_dist_d3,1,1.4263980926310122,0.2655400386547389,0.2655400386547389
m15_roc12_d3,1,0.26199222655080145,0.4863722022144591,0.26199222655080145
h4_rvol20_d3,-1,-1.1378221790231038,-0.2530306436793991,0.2530306436793991
btc1_mfi_d1,1,3.305658484130254,0.23794757896149757,0.23794757896149757
h1_adx_acc,-1,-0.838209912079916,-0.22497882530731994,0.22497882530731994
h1_adx,1,0.21781413787697704,0.8054558269260346,0.21781413787697704
h4_atr_pct,1,0.20873711794273447,0.5755753349235323,0.20873711794273447
m15_cmo_d1,-1,-0.3131034253787181,-0.20827315086152226,0.20827315086152226
m15_rvol20_d1,-1,-0.20341514892050885,-0.2273626893567056,0.20341514892050885
h4_cmo_d3,1,0.5947664238032284,0.19977060119603998,0.19977060119603998
h4_bb_width,1,0.7046188198007595,0.18150457404059073,0.18150457404059073
btc1_roc12_acc,-1,-0.1732341646731915,-0.5703654961328133,0.1732341646731915
h4_chop14_acc,1,0.1723206277985882,0.23340871483324507,0.1723206277985882
btc4_cmo_d1,-1,-1.974952620954181,-0.16775942789216755,0.16775942789216755
h1_chop14_d3,1,0.16607403967811862,0.23789468007610892,0.16607403967811862
btc4_donch_pos_d1,1,0.16043729288285224,1.0,0.16043729288285224
m15_cmf_d1,-1,-0.15259996288930694,-0.5163428034309909,0.15259996288930694
m15_tsi_acc,-1,-0.35383282877569056,-0.14907918485002922,0.14907918485002922
m15_atr_pct_d3,1,1.1842590983054337,0.12806759525566572,0.12806759525566572
m15_adx_acc,-1,-0.28021067598964017,-0.12499462944211594,0.12499462944211594
h1_bb_width_acc,-1,-0.9046600030745334,-0.1239622516492291,0.1239622516492291
h1_chop14,-1,-0.1233636270226804,-0.16315571795522213,0.1233636270226804
btc1_tsi_d3,1,0.12255699746996591,1.2320419619392216,0.12255699746996591
